aba	acostamento/berma/bainha/margem/borda
industria	transportação/turismo/aventura/indústria/manufatura/transporte/expedição/agro-indústria/agronegocio/agronegócio/publicitação/armazém/finança/pesca/agricultura/construção/edifício/publicação/publicidade
indício	dica/sinal/sintoma/sintomas/vestígios/sintoma/vestígio/evidência/gesto/indicação/manifestação/marca
indústria	aviação/industrialização/mercado/produção
inexistência	impossibilidade
infecção	chaga/esquistossomose/esquitosomíase/hordéolo/paronychia/sepse/sépse/terçol/tetano/toxoplasmose/tétano/sarna/úlcera
inferno	tartaro/tártaro
infeção	chaga/esquistossomose/esquitosomíase/hordéolo/paronychia/sepse/sépse/terçol/tetano/toxoplasmose/tétano/sarna/úlcera
inflamação	adenite/amigdalite/apendicite/arterite/balanite/blefarite/bursite/canelite/cardite/catarro/ceratite/cervicite/colangite/colecistite/colite/conjuntivite/coriza/dacriocistite/diverticulite/encefalite/encefalites/enterite/epididimite/epiglotite/esclerite/esofagite/espondilite/estomatite/flebite/foliculite/gastrite/glossodínia/ileíte/irite/laringite/mastite/mastoidite/mielite/miite/miosite/neurite/orquite/osteíte/otite/pancreatite/parotidite/peritonite/pneumonite/proctite/prostatite/queratite/retinite/rinite/salpingite/scarro/sialadenite/sialoadenite/sialodenite/sinusite/tendinite/tireoidite/tonsilite/traqueíte/uveíte/vaginite/vasculite/celulite/escarro
inflação	estagflação
influência	compreensão/mãos-mortas/pertubação/robustez/vigor/poder/força
informação	curricula/divulgação/ementa/formatação/propaganda/currículo/notícia/circunstância/formato/instância/notícias/propaganda/consideração/evidência/familiaridade/fato/matriz/matéria/segredo/conhecimento/exemplo/representante/programa/artigo/actualização/atualização/datum/facto/factóide/metadados/metadata/tabelação/tabuada/arcano/boletim/estatística/estimulante/estímulo/materiais/ratificação/material/tabela/confirmação/dado/segredo/prova/leitura/verdade/base
infortunado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente/carpideira/jó/agourento
infortúnio	lástima/calamidade/cataclismo/catástrofes/tragédia/catástrofe/flagelo/desastre/pena/adversidade/soco/bomba/azar/acidente
infra	rack/prateleira/cancela/moldura/padiola/pérgola/treliça/trepa-trepa/andador/armação/favo/fenestra/grelha/montagem/janela/grade
infra-estrutura	drive-in/newsgroup/refeitorio/zôo/aeroporto/aeródromo/foro/fórum/zoológico/gás/instalação/água/estação/origem/pista/posto/fonte/campo
infracção	perjúrio
infração	perjúrio
ingestão	alimentação/deglutição/sugue/gole/bebida
ingrediente	albumen/albúmen/aromatizante/clara/condimento/tempero/gema
ingresso	inscrição/matricula/matrícula/registro/acolhida/ganancia/acolhimento/admissão/intrusão/receita/acesso/passivo/renda/rendimento
iniciação	germinação/procissão/causa
inimizade	tensão/animosidade/rancor/resentimento/suspeita/agressividade/amargura/antagonismo/guerra/ressentimento/hostilidade
injúria	afronta/desconsideração/indignidade/insulto/insolência/ofensa/perseguição/crueldade
inquérito	indagação/quesito/interrogação/pergunta/desafio/questão/interrogatório
inscrição	epigraphe/epitafio/epígrafe/epitáfio/sobrescrito
insecto	besoiro/besouro/bichas-cadelas/cupim/cupins/dermaptera/himenópteros/imago/lepidópteros/minador/odonatos/ortópteros/polinizador/polinizadores/pulga/pulgas/pupa/sem-vergonha/siphonaptera/sota/térmite/térmites/crisálida/hemípteros/bicho/inseto/piolho/escaravelho/joaninha/rainha/operário
insectos	besoiro/besouro/bichas-cadelas/cupim/cupins/dermaptera/himenópteros/imago/lepidópteros/minador/odonatos/ortópteros/polinizador/polinizadores/pulga/pulgas/pupa/sem-vergonha/siphonaptera/sota/térmite/térmites/crisálida/hemípteros/bicho/insecto/inseto/piolho/escaravelho/joaninha/rainha/operário
inserção	injeção/intubação/perfusão/transfusão
inseto	besoiro/besouro/bichas-cadelas/cupim/cupins/dermaptera/himenópteros/imago/lepidópteros/minador/odonatos/ortópteros/polinizador/polinizadores/pulga/pulgas/pupa/sem-vergonha/siphonaptera/sota/térmite/térmites/crisálida/hemípteros/bicho/insecto/piolho/escaravelho/joaninha/rainha/operário
insetos	besoiro/besouro/bichas-cadelas/cupim/cupins/dermaptera/himenópteros/imago/lepidópteros/minador/odonatos/ortópteros/polinizador/polinizadores/pulga/pulgas/pupa/sem-vergonha/siphonaptera/sota/térmite/térmites/crisálida/hemípteros/bicho/insecto/inseto/piolho/escaravelho/joaninha/rainha/operário
insolvência	bancarrota/falência
inspecionar	autópsia/endoscopia/fiscalização/inspecionada/inspecção/necropse/necrópsia/rinoscopia/vistoriada/busca/comparação/olhada/vistoria/exame/revisão/acompanhamento/estudo/exploração/inspeção/teste
instalação	calefacção/aquecimento/calefação/drive-in/newsgroup/refeitorio/zôo/aeroporto/aeródromo/encanamento/foro/fórum/zoológico/gás/água/estação/origem/pista/posto/fonte/campo
instante	saída/prazo/início/começo/princípio/climax/ultimação/término/meio-termo/data/distância/então/fase/termo/conclusão/hora/fim/momento/segundo/cabo/final/meio
instituição	orfanato
instrumentalista	cantador/cantor/vocalista/acompanhador/acordeonista/baixistas/clarinetista/cravista/flautistas/gaiteiro/guitarreiro/guitarrista/organista/organistas/pianista/pianistas/roqueiro/saxofonista/tecladista/teclistas/trombeteiro/trompetista/violinista/violista/violoncelista/violonista/acólito/baixista/clarineta/flautista/saxofone/trombeta/trombone/flauta/guitarra/acompanhante
instrumentista	cantador/cantor/vocalista/acompanhador/acordeonista/baixistas/clarinetista/cravista/flautistas/gaiteiro/guitarreiro/guitarrista/organista/organistas/pianista/pianistas/roqueiro/saxofonista/tecladista/teclistas/trombeteiro/trompetista/violinista/violista/violoncelista/violonista/acólito/baixista/clarineta/flautista/saxofone/trombeta/trombone/flauta/guitarra/acompanhante
instrumento	acendedor/arapuca/brocha/chibata/encosto/engenhoca/escova/filtros/furadeira/gadget/sensor/apetrecho/armadilha/açoite/chicote/filtro/gancho/implemento/maquinaria/pincel/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/armamento/bastão/pau/equipamento/vara/arma/chave/mecanismo/máquina/suporte/agulha/barra/ferramenta/rede/adaptador/aerofólio/analisador/anticoncepcional/aquecedores/arada/arado/ardil/bafómetro/bafômetro/benjamim/calçadeira/cinetoscópio/conector/contentor/contêiner/cotonete/diapasão/enxada/etilómetro/etilômetro/exaustor/extintor/goma/indicadores/leque/lutter/macaco/magnete/mangual/mídia/paleolito/pegador/plectro/plotter/pós-combustão/rastel/rastelo/realejo/restelo/roteador/router/stylus/suabe/teclado/torquês/triturador/utensílio/valva/vaporizador/íman/ancinho/aparato/arpão/baixo/berimbau/calçadeira/catapulta/chupeta/conversor/dispositivo/estilete/ferragens/forcado/implemento/isca/mobília/palheta/pente/quinquilharia/safa/safira/sanfona/ímã/aquecedor/batedor/borracha/mobiliário/remo/torno/ventilador/alicate/aparelho/armamento/cerâmica/munição/recipiente/tenaz/válvula/botão/equipamento/lança/lâmpada/metro/móvel/veículo/arma/luz/mecanismo/pá/agulha/restrição/sistema/barra/controle/limitação/estilo/ferramenta/impressão/baixo/guarda/ligação
instrução	experiência/erudição/aprendizado/aprendizagem/esclarecimento/fundamento/sabedoria/base
instância	mostra/precedente/excepção/exceção/amostra/vez/exemplo
insucesso	equívoco/engano/falha/erro/fracasso/falha/negligência/erro
insulto	indignidade
insurreição	alçamento/insurgência/motim/motinada/sedição/sublevação/levantamento/revolta/rebelião
intelecto	estudioso/gênio/pensador/erudito/especialista/mente/teórico/acadêmico/intelectual/aforista/alquimista/expositor/mentor/pensador/cético/intelectual
intelectual	estudioso/gênio/pensador/erudito/especialista/mente/teórico/acadêmico/aforista/alquimista/expositor/mentor/pensador/cético
inteligência	genealidade/brilho/talento/agudez/astucidade/agudeza/sagacidade/astúcia/cérebro/talento
intempérie	nevasca/nevão/trovoada/granizo/tormenta/vendaval/temporal/tempestade
intensidade	violência/força/severidade/veemência/seriedade/violência/ênfase
intenção	finalidade/acepção/intento/propósito/significação/matiz/objectivo/sentido/objetivo/significado/fim/conotação/importe/morais/referente/referência/verba/cronograma/denotação/moralidade/regime/semântica/essência/lição/orçamento/ética/horário/destino/impulso/moral/projeto/esquema/significado/tom/figura/ilustração/programa/plano/vida/desenho
interação	contato/ligação/interacção/intercâmbio
intercessor	conciliador/harmonizador/mediadora/diplomata/moderador/pacificador/tradutor/intérprete
intercorrência	cabimento/default/possibilidade/padrão/preferência
interesse	entusiasmo/preocupação/mínimo/menor/caso
interferencia	lombada
interferência	prevenção/antagonismo/frustração/obstrução/complicação/obstáculo
interior	entre/meio
intermediário	api/conciliador/harmonizador/leiloeiro/mediadora/pregoeiro/segurador/síndico/corretor/diplomata/moderador/pacificador/tradutor/intérprete
interpretação	esquete/pantomima/reconstituição/heroísmo/caracterização/mímica/imitação/personificação/ato
interrogatório	entrevista/inquisição/catecismo
interrupção	descanso/repouso/pausa/demora/eclipse/cesura/hiato/lapso/ocultação/adiamento/intervalo/suspensão/pausa
interseção	origem
intervalo	interrupção/horário/suspensão/parada/pausa/período/intercalação/interludio/latência/ciclo/hesitação/eternidade/ausência/suspensão/pausa
intolerância	fanatismo/preconceito
introdução	injeção/intubação/perfusão/transfusão
intérprete	actor/ator/artista/actriz/atriz/canastrão/caubói/cómico/dançarina/dançarino/ilusionista/instrumentalista/instrumentista/magician/malabarista/mambembe/menestrel/prestidigitador/titeriteiro/tocador/ator/comediante/fantasiado/geek/mímico/músico/bailarina/bailarino/artista/cômico/mímica/extra/estrela
inundação	efusão
invenção	neologismo
invertebrado	verme/artropode/artrópode/artrópodes/brachiopoda/celenterados/equinodermo/equinodermos/espongiários/molusco/porifera/porífera/rotifera/moluscos
invertebrados	verme/artropode/artrópode/artrópodes/brachiopoda/celenterados/equinodermo/equinodermos/espongiários/molusco/porifera/porífera/rotifera/moluscos
investigação	escuta/examinação/busca/grampo/procura/exame/inquérito/pesquisa/teste/questionamento/enumeração/análise/contagem/empirismo/inquérito/inspecionar/conta/examinar
investimento	arbitragem/especulação
início	iniciativa/activação/ativação/gênese/incipiência/investida/kickoff/alfa/alvorecer/estreia/iniciação/manhã/prestação/retomada/constituição/inauguração/lançamento/madrugada/nascimento/amanhecer/concepção/estabelecimento/fundação/instalação/instituição/posse/crescimento/emergência/introdução/origem/começo/criação/princípio/abertura/organização/apresentação/ataque
ira	fúria/cólera/raiva/indignação/raiva/irritação
irmã	beguinas
isqueiro	fósforo/encendedor
item	notícia/lugar/posição
itinerário	órbita/trilha/rumo/circuito/direcção/rodada/direção/ronda/órbita/curso
itinerários	órbita/trilha/rumo/circuito/direcção/rodada/direção/ronda/órbita/curso
janela	clarabóia/clerestório/montra/rosácea/olhador/rosácea/vigia/vitral/vitrina/vitrine
jangada	kon-tiki
jardim	pomar/rosarium/roseiral/vergel/herbário/horta
jazida	meio-campo/centro
jeito	asas/evasão/asa/instrumento/recurso/ferramenta/estrada/caminho
jejum	dieta/ramadão
joalharia	anel/joia/jóia/anel/gema/aliança/abotoadura/bracelete/brinco/grânulo/miçanga/pulseira/coleira/bracelete/colar/conta
joalheria	anel/joia/jóia/anel/gema/aliança/abotoadura/bracelete/brinco/grânulo/miçanga/pulseira/coleira/bracelete/colar/conta
jogo	jogada/competição/torneio/corrida/combate/partida/luta/classe/brigadegalo/curling/dentama/dentição/parelha/passa-tempo/peddy-paper/pinball/singleto/videogame/videojogo/dentadura/esporte/hobby/quíntupla/quíntuplo/boliche/mobiliário/passatempo/suíte/tríade/unitário/torneio/corrida/conjunto/par/união/partida/turno/ataque
jornada	anoitecer/véspera/tarde/passeio/viagem/noite/comute/ida/odisseia/peregrinagem/turnê/peregrinação/caminhada/excursão/expedição/passeio/caminho
jornal	resenha/periódico/revista/série/folha/gazeta/tabloide/tablóide/diário/revista/órgão/folha/número
jornalismo	periódico/jornal/folha/revista/jornal
jornalista	colunista/colunistas
jovem	adolescente/moço/rapaz/moça/rapariga/diabrete/gaiato/moleque/pivete/pre-adolescente/prodígio/órfão/criança/menino
judeu	essénios/essênios/fariseus/saduceus/judia/sionista
judia	essénios/essênios/fariseus/saduceus/sionista/judeu
juiz	magistrado/jurista/alcaide/doge/pretor/daniel/magistrado/árbitro/oficial
juizado	inquisição/tribunal/corte
julgador	avaliador/juiz/árbitro/crítico
julgamento	adjudicação/desaprovação/ditame/revogação/arbitragem/reprovação/sentença/avaliação/estimativa/cálculo/justiça/opinião
junta	comité/comitê/conselho/júri/politiburo
junção	coalescência/reunificação/reunião
jurisdição	abbadia/bailiado/diocese/jurisdicção/privilegios/paróquia/califado/abadia
jurisprudência	charia/chariá/common-law/leis/lei
jurista	alcaide/doge/pretor/daniel/magistrado/procurador/defensor/promotor/advogado
justeza	corretude/justiça/direito/equanimidade/eqüidade/justiça
justiça	justeza/corretude/honra/direito/honestidade/retidão/equanimidade/eqüidade/honestidade
juvenil	adolescente/moço/rapaz/moça/rapariga/pre-adolescente/criança/jovem/menino
juízo	adjudicação/desaprovação/determinação/reprovação/avaliação/decisão/estimativa/cálculo/justiça/resolução
jóia	anel/joia/anel/gema/aliança/abotoadura/bracelete/brinco/grânulo/miçanga/pulseira/coleira/bracelete/colar/conta
laboratório	chácara/estudio/laboratorio/laboratórios/estúdio/granja/quinta/oficina/sítio/fazenda/trabalho/estaleiro/estaleiros/ferraria/forja/padaria/pescaria/estúdio/eta/lavanderia/localização/central
lacticínio	manteiga/queijo/creme/nata/leite/coalhada/iogurte
ladeira	declividade/ribeira/barranco/descida/declínio/margem/aclive/outeiro/vertente/escarpa/planalto/colina/declive/rampa/subida/encosta
lado	superior/topo/fundo/dianteira/barlavento/frente/rabo/traseiro
lagarta	bômbice/bômbix/bicho-da-seda
lago	albufeira/reservatório/laguna/lagoa/tanque
laje	ladrilho/lapide/prancheta
lança	arpão
lar	vivenda/habitação/casa/ger/chaminé
larva	berne/bicho-da-farinha/bot/bômbice/bômbix/girino/lagarta/bicho-da-seda/ninfa/verme
laticínio	manteiga/queijo/creme/nata/leite/coalhada/iogurte
legalidade	validade
legenda	oposição/dixiecrat/gironda/kuomintang
legislatura	parlamento/congresso/assembléia/duma/senado/congresso
legume	aboboreira/jerimum/pepineiro/pepino/abóbora/alho-porro/alho-porró/alho-porrô/alho-poró/cogumelo/porro/ápio/alcachofra/aspargo/cogumelos/espargo/plátano/ruibarbo/abóbora/aipo/folhas/quiabo/salsão/funcho/trufa/cebola/vegetal
lei	constituição/princípio/regra/charia/chariá/common-law/europol/gendarmaria/leis/schutz-staffel/schutzstaffel/ss/proibição/prescrição
leis	constituição/proibição/prescrição
leite	leitelho
leito	beliche/liteira/camarote/fundo/rede
leitura	hora
lenço	bandana
leque	soprador/ventilador
lesão	picada/ferida/fractura/fratura/ferimento/queimadura/contusão/hemorragia/sangramento/hematoma/torcedura/inchaço/galo/torção
letra	asterisco/caracter/caractér/carácter/maiúscula/inicial/espaço/a/b/beta/csi/d/digrafo/digrama/dzeta/dígrafo/e/epsílon/eta/fi/gama/h/hipsilo/i/ideograma/iota/ipsilone/ipsilão/j/k/lambda/mi/minúscula/n/ni/o/omêga/p/pictograma/q/quem/r/runa/rô/sigma/t/u/w/x/xi/xis/y/z/zeta/zê/á/épsilon/ômicron/α/β/γ/δ/ζ/η/θ/ι/κ/μ/π/ρ/σ/υ/φ/χ/ω/alfa/consoante/delta/deltas/f/g/m/obelisco/pi/psi/pê/s/tau/ípsilon/ómega/cá/teta/gama/vogal/capa
levedura	fermento
leveduras	fermento/levedura
liberalismo	autogoverno/autodeterminação
liberdade	autonomia/independência/autarquia/autonomia/independência/liberalismo
licença	lazer/ócio/férias
liderança	administrador/executivo/gerente/frente/capo/timão/leme/secretário/gerente/patriarca/secretária
liga	aço/duralumínio/electrum/estelite/invar/peltre/solda/tombac/amálgama/electrum/alpaca/luto
ligação	convivência/pertinência/relevância/afiliação/filiação/associação/conhecido/nó/amizade/sociedade/conexão/relação/canga/interligação/coalizão/coerência/coesão/coligação/concatenação/contacto/envolvimento/sincretismo/acoplamento/jugo/parceria/participação/continuidade/articulação/contato/junção/assimilação/conjunção/contabilidade/fusão/sociedade/união/terra/conexão/relação
limitação	travão/trela/freio/grilhão/algema/coleira/cadeia/airbag/açaime/açaimo/focinheira/sapata/beira/mordaça/cinto/máximo/limite
limite	acostamento/berma/delimitação/contorno/superfície/margem/borda/fronteira/confins/aba/beira/bainha/periferia/perímetro/alcance/máximo/margem/borda/fronteira
limpada	depilação/depuração/saneamento/ablução/esterilização/saneamento/banho/purificação
limpeza	depilação/depuração/saneamento/ablução/esterilização/saneamento/banho/purificação
linguagem	fala/idioma/língua/afro-asiático/dravidianas/eloquência/eloqüência/grandiosidade/meta-linguagem/metalinguagem/tersividade/vasconço/verbosidade/alegoria/barragem/basco/dispositivo/retórica/jargão/poesia/mímica/caucasiano/emprego
linguística	diacronia/etimologia/etimologias/neurolinguística/neurolingüística/pragmática/semântica/sociolinguística/etimologia/semântica
lingüística	diacronia/etimologia/etimologias/neurolinguística/neurolingüística/pragmática/semântica/sociolinguística/etimologia/semântica
linha	curvas/filaúnica/toa/umapósooutro/fila/curva/órbita/trilha/corda/bicha/arco/cabo/amarra/brandái/encabeçamento/geodésica/recta/rumo/bissetriz/circuito/direcção/reta/perímetro/rodada/direção/ronda/órbita/corda/curso/borda/fronteira/limite
linhagem	família/amarelos/branco/brancos/eslavos
lipido	lípidos/gordura/óleo/cera/fosfolipido/fosfolípido/triacilglicerol
lipídio	lípidos/gordura/óleo/cera/fosfolipido/fosfolípido/triacilglicerol
liquidação	feira
lista	cronograma/menu/índice/agenda/pauta/horário/chave/programa/arrolamente/bibliografia/bibliografias/catalogação/faq/inventários/necrologia/catálogo/enumeração/inventário/índice/calendário/diretório/ficheiro/conteúdo/pilha
listagem	cronograma/lista/menu/índice/agenda/pauta/horário/chave/programa/arrolamente/bibliografia/bibliografias/catalogação/faq/inventários/necrologia/catálogo/enumeração/inventário/índice/calendário/diretório/ficheiro/conteúdo/pilha
litoral	beira-mar/costa/costa
liturgia	circuncisão/vigília
litíase	colelitíase
livro	album/apostila/folheto/livreto/opúsculo/sebenta/álbuns/brochura/caderno/catálogo/panfleto/álbum/compêndio/texto/cancioneiro/canhenho/catequismo/fólio/memento/missal/anuário/brochura/catecismo/ritual/romance/diário/volume/autoridade
livros	album/álbuns/caderno/álbum/fólio/brochura/romance/diário
lixo	detrito/negar-sea/resíduos/resíduo/efluentes/poluentes/espacial/excremento/excreção/impureza/esgoto/fezes/merda
local	direita/esquerda/lugar/meia-haste/anomalia/marina/fronte/situação/frente/posto/lugar/posição
localidade	locale/escuridão/sombra
localização	regiões/ocidente/selva/floresta/espaço/região/paradeiro/terra/cá/aqui/sul/norte/lar/região/fronteira/base/lugar/casa
locação	cemitérios/necrópole/regiões/campismo/cemitério/escavação/ocidente/selva/floresta/acampamento/espaço/região/monturo/paradeiro/tê/campismo/terra/cá/monumento/monumentos/aqui/instalação/loja/sul/local/norte/acampamento/lar/região/fronteira/base/lugar/casa
locomoção	braçada/rastejamento/caminhada/corrida/trote/passo/andar
locução	lemas/mote/cambial/lema/ambigüidade/bem-aventuranças/decalque/disfemismo/máxima/provérbios/ambiguidade/axioma/eufemismo/aforismo/adágio/provérbio/ditado
loja	bancas/barbearia/botica/brecho/drogaria/drograria/farmacia/florista/livraria/livrarias/padaria/pastelaria/pizzaria/tabacaria/talho/banca/boutique/estande/farmácia/sapataria/lavanderia/cantina
lousa	painel/drywall/esqueite/estêncil/folhadelata/laminação/paleta/pálete/quadro-negro/skate/prancha/snowboard/tábua/chapa/lata/quadro/membrana/placa/folha
louça	faiença/faqueiro/louças/pausinho/pauzinho/talher/talheres/vidro/prata/serviço
lugar	cemitérios/necrópole/regiões/campismo/cemitério/escavação/ocidente/procedência/selva/vértice/direita/esquerda/floresta/raiz/acampamento/centro/espaço/área/canto/nascente/região/fonte/foco/meia-haste/monturo/paradeiro/tê/anomalia/campismo/marina/poleiro/terra/umbigo/cá/foco/fronte/monumento/monumentos/aqui/instalação/loja/observatório/sul/local/norte/situação/acampamento/frente/lar/posto/região/fronteira/base/casa/posição
luminaria	candeeiro/lustre/candelabro
luminária	candeeiro/lustre/candelabro
luta	peleja/pugna/insurreição/revolta/guerra/rebelião/disputa/combate/batalha/armagedão/brigadegalo/disturbio/dog-fight/dogfight/esgrima/superação/tiroteio/contenda/duelo/esgrima/briga/choque/torneio/conflito/discórdia/disputa/combate/batalha
luz	feixe/sol/brilho/raio/candeia/fluorescencia/fluorescência/gegenschein/incandescência/luar/luminescência/meteoro/crepúsculo/lâmpada
lâmpada	luz/candeia
lã	urdume/algodão/linha
líder	empregador/administrador/executivo/gerente/herói/político/treinador/cabeça/guia/chefe/liderança/exemplo/técnico/responsável/modelo/cacique/capo/galvanizador/imame/inspirador/super-homem/aristocrata/guru/legislador/patrício/semideus/secretário/gerente/político/capitão/comandante/patriarca/presidente/secretária/chefe/clérigo/superior
língua	fala/linguagem/idioma/afro-asiático/dravidianas/eloquência/eloqüência/grandiosidade/meta-linguagem/metalinguagem/tersividade/vasconço/verbosidade/alegoria/barragem/basco/dispositivo/retórica/jargão/poesia/mímica/caucasiano/emprego
lípido	lípidos/gordura/óleo/cera/fosfolipido/fosfolípido/triacilglicerol
lípidos	gordura/óleo/cera/fosfolipido/fosfolípido/mielina/triacilglicerol
líquido	água/derramamento/elixir
líqüido	bebida/líquido/alcool/anticongelante/destilado/álcoois/amônia/destilação/álcoois/álcool/gás/tinta/água
macho	garoto/moço/rapaz/menino/homem/potro/boi/garoto/moço/cavalo/rapaz/sujeito/varão/menino/cara/homem
machucado	picada/ferida/fractura/fratura/ferimento/lesão/queimadura/contusão/hemorragia/sangramento/hematoma/torcedura/inchaço/galo/torção
maconha	cardo/ortiga/salsola/urtica/urtiga/ambrosia
madame	senhora/dama
madeira	tora/tronco/aveleiro/cana-brava/choupo/hicória/ibirapiranga/ibirapitá/lárix/pau-brasil/pau-de-tinta/pau-pernambuco/pau-rosado/pernambuco/pinho/serradura/serragem/taboca/taquara/tilia/vime/álamo/acácia/bambu/carvalho/cerejeira/cornus/eucalipto/larice/mogno/nodo/olmo/sândalo/teixo/ulmeiro/ácer/ébano/amieiro/cedro/farpa/oliveira/bétula/nogueira/nogueira-comum/pinheiro
magistrado	alcaide/doge/pretor/daniel
magnete	eletroíma/eletroímã/solenoide/solenóide
magnitude	amplidão/anchura/largura/tamanho/dimensão/medida/proporção/grau/extensão/amplitude/espessura/multiplicidade/grossura/intensidade/proeminência/significação/alcance/grandeza/urgência/volume/altitude/medida/importância/altura/quantidade/significado/extensão/número
mal	picada/ferida/fractura/fratura/ferimento/lesão/queimadura/contusão/hemorragia/sangramento/hematoma/torcedura/inchaço/galo/torção
maldade	irreverência
malha	tule/gaze/rede
maltrato	abuso/descuido/injúria/negligência/victimização/perseguição/exploração/irritação
mamífero	morcego/quirópteros/gado/pecuária/aardvark/aardwark/dermoptera/digitígrado/fissípedes/jimbo/oricterope/pangolim/plantígrado/porco-da-terra/porco-formigueiro/primata/proboscídeos/roedor/timba/timbo/insectívoros/primatas/tamanduá/vaca/carnívoro/touro/ungulados/macho
maneira	asas/caimento/feitio/cidadania/jeito/evasão/modo/asa/forma/instrumento/recurso/corte/estilo/ferramenta/estrada/caminho
manequim	supermodelo
manifestação	ebulição/atuação/fingimento/luto
manipulador	conductor/chofer/condutor/motorista/maquinista/ascensorista/motorista/operador
manobra	ofensiva/campanha/medida/passo/ataque/finta/maracutaia/tacada/estacionamento/obstrução/artimanha/missão/truque/assistência/figura
manufatura	aciaria/industrialização/serraria/siderurgia/fundição/produção
mapa	gráfico
maquinaria	moinhos/calculadora/maquinário/moinho/computador/imprensa/máquina/agrafador/bate-estaca/batoneira/betoneira/calculador/calculadoras/calculista/decodificador/escavadeira/escavadora/fonógrafo/gim/grampeador/impressor/prensa/tipógrafo/toca-discos/calculadora/gramofone/impressora/motores/simulador/computador/calendário/imprensa/motor
maquinário	moinhos/moinho
marca	rótulo/etiqueta/carimbo/comprovação/autenticação/carimbo/marcas
marcador	passarinho/meleca/zero/par/pata
marcadores	rótulo/etiqueta/carimbo/comprovação/autenticação/carimbo/marcas/marca
marco	flecha/ponteiro/diacríticos/diacrítico/dito
margem	beira/borda
marido	cônjuge/esposa/esposo/varão/mulher/homem/bígamo/recém-casado/consorte
massa	laico/seguidores/dilúvio/audiência/espectador
mata	bosquete/selva/bosque/floresta
materiais	minérios/química/thread/mineral/fibras/lixo/resíduo/condutor/fibra/substância/papel/colorante/compósito/constructora/elastómero/elastômero/empreiteira/estiva/isolador/lanugem/lastro/matéria-prima/balastro/corante/detergentes/húmus/isolante/poeira/átomo/abrasivo/espuma/rocha/cimento/partícula/tinta/contaminação/emissão/pedra/solo/cor
mato	rosa/rosas/rosa/alcaparra/buxo/bérberis/empetrum/eufórbio/fuchsia/fúchsia/gardênia/hortênsia/jasmim/jasmim-da-noite/kolkwitzia/lavanda/madressilva/mamona/medronho/mesquite/mimosa/oxicoco/patchouli/pilriteiro/podocytisus/pyracantha/rododentro/rooibos/sarcobatus/streptosolen/tamarga/tamargueira/tamarilho/tamarisco/tamariz/tojal/tojo/tramaga/tramagueira/urze/uva-espim/cânhamo/feijoa/jujuba/malva/medronheiro/pimentão/zimbro/charneca/coca/groselheira/lilás/pimenta/algodão/maconha/mirtilo
matrimónio	endogamia/exogamia/monogamia/poligamia/bigamia/endogamia
matrimônio	endogamia/exogamia/monogamia/poligamia/bigamia/endogamia
matéria	barro/geleca/gosma/lodo/líqüido/sedimento/fluido/lama/substância/depósito/anti-matéria/antimatéria/ponto-cego/residuo/soluto/sólida/tema/questão/substância/área/sistema/sólido
mecanismo	acendedor/arapuca/autômato/encosto/engenhoca/filtros/gadget/robô/sensor/andróide/apetrecho/armadilha/eixo/engrenagem/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/barreira/chave/marcha/máquina/suporte/instrumento/ferramenta/rede/adaptador/aerofólio/anticoncepcional/aquecedores/ardil/atuador/bafómetro/bafômetro/benjamim/calçadeira/cinetoscópio/cotonete/etilómetro/etilômetro/exaustor/extintor/extrator/indicadores/leque/magnete/pegador/plectro/pós-combustão/radiador/roteador/router/teclado/torquês/triturador/valva/vaporizador/íman/arrefecimento/calçadeira/catapulta/chupeta/conversor/esfriamento/isca/palheta/pente/refrigeração/safira/trava/ímã/aquecedor/controlador/ignição/ventilador/alicate/tenaz/válvula/botão/lâmpada/luz/agulha/corda/restrição/partida/controle/limitação/impressão/guarda
mediador	conciliador/harmonizador/mediadora/diplomata/moderador/pacificador/tradutor/intérprete
medicamento	terapia/dose/remédio/adstringência/agonista/alopurinol/analgésicos/anestésicos/anti-coagulante/anti-depressivo/anti-hipertensivo/anti-inflamatório/anticoagulante/anticoagulantes/anticonvulsivo/anticonvulsivos/antidepressivo/antidepressivos/antidoto/antiemético/antipirético/antipiréticos/antissépticos/antiséptico/antivirais/antiviral/antídoto/azatioprina/bactericida/bloqueador/broncodilatador/broncodilatadores/carminativo/clofibrato/contraveneno/dissulfiram/diurético/diuréticos/estatina/estimulantes/expectorante/hipnótico/intoxicante/lenitivo/panaceia/panacéia/penicilamina/placebo/pomada/probenecida/profiláctico/sucralfato/supositório/tintura/vermífugo/analgésico/antisséptico/estimulante/laxante/narcótico/profilático/reboco/sedativo/anestésico/calmante/preventivo/tintura/ungüento/remédio
medida	peso/antropometria/audiometria/batimetria/bit/bite/calorimetria/cefalometria/densitometria/dioptria/dosimetria/espirometria/gravimetria/hidrometria/hipsometria/quantificacao/quantificação/telemetria/tonometria/quilate/circunferência/perímetro/topografia/distância/grau/observação/extensão
medição	peso/antropometria/audiometria/batimetria/bit/bite/calorimetria/cefalometria/densitometria/dioptria/dosimetria/espirometria/gravimetria/hidrometria/hipsometria/quantificacao/quantificação/telemetria/tonometria/quilate/topografia/grau/observação
