abacateiro	abacate
parede	arco/apainelamento/pórtico/pilar/acesso/porta/portão/entrada
paris	bastilha/champs-elysees/champs-élysées/louvre/montmartre/orly/torredeeiffel
parque	baloiço/escorregador/escorrego/balanço/balancé/balancê/gangorra
parquinho	baloiço/escorregador/escorrego/balanço/balancé/balancê/gangorra
partida	game/distribuidor/vela
passaporte	visto
passaportes	visto
pasta	taramela/trinco/alça/cabo
pata	dedo/metacarpo/palma/pato/dedo
pauta	espaço
pays-de-la-loire	mayenne
país	domínio
pc	microprocessador/microprocessadores
pebibyte	tebibyte
pecuária	colheita
pedagogia	lição/tarefa
peito	areola/aréola/aréola/esterno/colo/costela/tórax
peixe	aleta/ova/ova/ovas/barbatana
pele	lentigem/lentigem/ruga/ruga/sarda/sarda/sulco/sulco/sardas/sardas/cútis/cútis/derme/derme/derme/derme/epiderme/epiderme/poro/poro/crosta/crosta
peleja	porrada/golpe
peloponeso	esparta
pelve	cóccix/cóccix/púbis/púbis/púbis/púbis/sacro/sacro/ílio/ílio/ísquio/ísquio/ilíaco/ilíaco/quadril/quadril
película	plano/legenda
pena	raque
penitência	absolvição/absolvição
pensilvânia	chester/erie/filadélfia/gettysburg/harrisburg/pittsburgh
penso	gaze
pentateuco	deuteronómio/deuteronómio/deuteronômio/deuteronômio/génesis/génesis/gênesis/gênesis/levítico/levítico/êxodo/êxodo
pente	projétil/bala/dente
penteado	anel/cacho
pepino	pepineiro
pequenasantilhas	barbados
pereira	pêra
perfil	horizonte
performance	atuação/representação/interpretação
pericardio	epicárdio
pericárdio	epicárdio
periódico	manchete/quadrinhos/editorial/notícia/coluna
perna	maléolo/tornozelo/artelho/coxa/joelho/anca/pé/panturrilha/perónio/surata/tíbia/coto/fíbula/canela/canela
persiana	ripa/sarrafo
personalidade	feição/peculiaridade/integridade/índole/caráter/natureza/responsabilidade
perspectiva	horizonte
peru	andes/arequipa/huascaran/huascarán/lima/misti/yerupaja/amazonas
período	meio-termo/época
pescoço	faringe/garganta/cerviz/esternocleidomastoideu/nuca/timo/traqueia
pessegueiro	pêssego
pessoa	feição/peculiaridade/temperamento/anatomia/carne/personalidade/corpo/índole/caráter/natureza/personalidade
petabyte	terabyte/terabyte/terabyte/terabyte
pezunho	dedo
peça	coroa/cara
phot	lux/luz
piano	teclado
piemonte	turim
pilar	capitel/entasis/pedestal/suporte/base
pilha	eletrodo
pimenta	pimento
pimenta-do-reino	pimenta
pimenta-preta	pimenta
pimento	chili/piripiri
pimentão	pimenta/pimento/pimento
pincel	taramela/trinco/alça/cabo
pinto	glande/uretra/glande/prepúcio
pistilo	estilo
pitanga	acerola
pituitária	adenoipófise/neuroipófise/neuroipófise
plancton	copépode
planeta	biosfera
planta	fragmento/parte
plantago	plátano
plastinação	endurecimento/ressecação/fixação/desidratação
plataforma	calculadora/computador
platelminto	célula-flama
platelmintos	célula-flama
platyhelminthes	célula-flama
playground	baloiço/escorregador/escorrego/balanço/balancé/balancê/gangorra
pluma	raque
plumagem	raque
plâncton	copépode
pneumoconiose	fibrose/fibrose
poema	estrofe/rima
poesia	estrofe/rima
polegada	engranzamento/paica/eme
polinesia	tonga/samoa
polinésia	tonga/samoa
polonia	auschwitz-birkenau/auschwitz-birkenau/breslávia/bydgoszcz/cracóvia/częstochowa/cárpatos/katowice/lublin/prussia/prússia/varsovia/varsóvia/vístula/wrocław/zabrze
poltrona	braço
polvo	pop
polónia	auschwitz-birkenau/auschwitz-birkenau/breslávia/bydgoszcz/cracóvia/częstochowa/cárpatos/katowice/lublin/prussia/prússia/varsovia/varsóvia/vístula/wrocław/zabrze
polônia	auschwitz-birkenau/auschwitz-birkenau/breslávia/bydgoszcz/cracóvia/częstochowa/cárpatos/katowice/lublin/prussia/prússia/varsovia/varsóvia/vístula/wrocław/zabrze
ponte	arco/arco
ponteiro	haste/cabo
porco	lombo/pé
porco-montês	colmilho
porra	espermatozoide/espermatozóide/espermatozóide/esperma
porta	portas/umbral/fechadura/fechadura/limiar/portão/bisagra/bisagra/charneira/charneira/dobradiça/dobradiça/dobradiça/dobradiça/gonzo/gonzo/fechadura
porta-seios	alcinha
portas	fechadura
porto	doca/ancoradouro
portugal	açores/braga/lisboa/lusitania/lusitânia/porto/setubal/setúbal/tejo
portão	portas/umbral/fechadura/fechadura/limiar/porta/bisagra/bisagra/charneira/charneira/dobradiça/dobradiça/dobradiça/dobradiça/gonzo/gonzo/fechadura
porção	bocado
prancha	nodo
prata	coroa/cara
prateleira	espeto
prateleiras	gaveta/prateleira/estante/caixa
prato	molho/ingrediente
precâmbrico	arqueano/proterozoico/proterozóico
preparação	tempero
primavera	equinócio
processador	placa-mãe
produção	plano/legenda
programa	meta/alvo/objectivo/intenção/instrução/sub-rotina/sub-rotina/subrotina/instrução/função
proposição	termo
propulsor	jante
proscênio	ribalta
protozoário	citostoma/citóstoma
prussia	brandemburgo
pré-cambriano	arqueano/proterozoico/proterozóico
prédio	antecâmara/antessala/ascensor/calefacção/escadaria/aposento/aquecimento/calefação/muralha/muro/pavimento/piso/saguão/vestíbulo/átrio/escada/parede/pátio/telhado/anexo/elevador/asa/teto/quarto/sala/sala/andar/recanto/rincão/fenestra/quina/janela/canto
prússia	brandemburgo
psoriasis	acantose
psoríase	acantose
pub	bar
publicação	cartoon/caricatura/texto/formato/índice/arte/conteúdo/gráfico/ilustração/desenho
puglia	bari
pugna	porrada/golpe
pulmão	alvéolos/alvéolos
punhal	empunhadura/punho/cabo
página	margem/paginação
pálpebra	celha/conjuntiva/pestana/cílio
pássaro	plumagem/ala/bico/pluma/asa/pena/culatra/fúrcula/garupa/siringe/traseira/ave/alvéolos/anca/rabo/traseiro
pé	calcanhar/alfândega/artelho/polegada/dedo/calcâneo/calcâneo/hálux/sola/canela
pé-de-cabra	fulcro
pélvis	cóccix/púbis/púbis/sacro/ílio/ísquio/ilíaco/quadril
pénis	glande/uretra/glande/prepúcio
pérsia	cáspio/isfahan/kavir/meshed/persepolis/persepólis/persépolis/shiraz/syrah/tabriz/teerã/teerão/urmia/xiraz
pênis	glande/uretra/glande/prepúcio
pórtico	portas/umbral/limiar/porta/portão
pôrfreioem	morso/rédea/bocal/bocado
qatar	doha/catar
quadril	ísquio
quarteirão	baia/curro
quarto	assoalho/cama/muralha/muro/pavimento/piso/chão/leito/parede/teto
quaternário	holoceno/holocénico/pleistoceno/pleistocénico
quebec	montreal/montréal/quebeque
quebeque	montreal/montréal/quebec
quebéc	montreal/montréal/quebec/quebeque
queensland	brisbane/brisbânia
queenslândia	brisbane/brisbânia
queixo	cavaignac/cavanhaque/cavanhaque/perilla
quenia	mombaça/nairobi/nairóbi
quiabeiro	quiabo/quiabo
quilate	decigrama
quilohertz	hertz
quilovolt-ampère	volt-ampere/volt-ampère/voltampere
quilowatt	watt
quilómetro	hectômetro/hectômetro
quilômetro	hectômetro/hectômetro
quirguistao	bishkek/bisqueque/pamir
quirguistão	bishkek/bisqueque/pamir
quirguiz	bishkek/bisqueque/pamir
quirguizistão	bishkek/bisqueque/pamir
quiribati	bairiki
quiribáti	bairiki
quirópteros	ala/asa
quitanda	prateleira/estante
quivi	quiuí
québec	montreal/montréal/quebec/quebeque
quénia	mombaça/nairobi/nairóbi
quênia	mombaça/nairobi/nairóbi
rabanete	rábano
radar	osciloscópio/oscilógrafo
radioreceptor	antenas/antena
radiorreceptor	antenas/antena
raiz	súber/casca/cemento
raiz-forte	rábano-silvestre/rábanodecavalo
ramo	súber/casca
rand	cêntimo/centavo
raquete	taramela/trinco/alça/cabo
raster	pixel/píxel
raíz	súber/casca
real	centavo
rebocador	timão/leme/volante
receptor	antenas/antena
recetor	antenas/antena
rede	ardil/isca/cliente/servidor
refeitório	bufete/prateleiras/armário
refeição	porção/prato/sandes/sanduiche/sanduíche/sanduíches/acompanhamento/prato
regador	taramela/trinco/alça/cabo
regime	judiciário/administração/organização
reino-unido	escocia/escócia/inglaterra
relé	eletroíma/eletroímã/eletroímã
relê	eletroíma/eletroímã/eletroímã
relógio	ponteiro
renascentismo	renascença
renascimento	renascença
rendimento	atribuição
repasto	porção/prato/sandes/sanduiche/sanduíche/sanduíches/acompanhamento/prato
repolho	couve
reposteiro	olhete
reprodução	nascimento
resfriado	rinorreia/rinorréia
residência	dormitório/cozinha/quarto/banheiro/camarim/gabinete/refeitório/salão/banheiro/sala/sala
respiração	inalação/exalação/expiração/inspiração/aspiração
retina	bastonete/cone
reto	anus/ânus
revólver	tubo/extrator/alça/cano/cartucho/gatilho
revóvel	tubo/extrator/alça/cano/cartucho/gatilho
rim	nefrónio
rio	cachoeira/cascata/catarata/corredeira/estuário
rod	jarda
rodada	metade/turno/jogo
rodovia	acostamento/berma/encruzilhada/cruzamento/curva/rotatória/trevo
rodésia	bulawayo/harare/zambeze
rojão	foguete
roma	latrão/vaticano
rombencéfalo	cerebelo
romã	granada
romãzeira	romã/granada
roménia	brasov/braşov/bucareste/cárpatos/danúbio
romênia	brasov/braşov/bucareste/cárpatos/danúbio
rosto	bochecha/chinchilla/mento/sobrancelha/sobrancelha/sobrolho/supercílio/testa/óculo/olho/nariz/olfato/queixo/barba/traço/mandíbula/boca
roupa	algibeira/bolso/guarda-roupa/manga/banda/faixa/olhete/pence/braguilha/forro/saia/colarinho
ruanda	kigali
rublo	copeque
ruminante	abomaso/omaso/rúmen/barrete
ruminantes	abomaso/omaso/rúmen/barrete
ruménia	brasov/braşov/bucareste/cárpatos/danúbio
rádio	amplificador/amplificadores/detector
rúpia	cêntimo/cêntimo/centavo/centavo
rússia	amur/astracã/carélia/cazã/chechénia/chechênia/cheliabinsk/cáspio/grozni/grozny/grózni/kazan/kursk/leningrado/moscou/moscovo/murmansk/nalchik/novosibirsk/omsk/perm/petersburgo/petrogrado/piter/saratov/siberia/sibéria/smolensk/smoleńsk/ufa/ufa/vladivostok/volga/volgogrado
s	milissegundo
sacada	balaustrada/corrimão
saco	epididimo/epidídimo
sacolão	prateleira/estante
saguão	assoalho/muralha/muro/pavimento/piso/chão/parede/teto
saia	zíper
sala	assoalho/muralha/muro/pavimento/piso/chão/parede/teto
salsão	ápio/aipo
salário	ordenado/remuneração/retribuição
salão	assoalho/muralha/muro/pavimento/piso/chão/parede/teto
samatra	medan
samoa	apia
sandes	pão
sanduiche	pão
sanduíche	pão
sanduíches	pão
sangue	corpúsculo/corpúsculo/hematócito/hematócito/eritrócito/eritrócito/hemácia/hemácia
sapato	atacador/cadarço/cordão/lingua/palmilha/tacão/talão/salto/língua
saskatchewan	saskatoon
schutz-staffel	gestapo/gestapo/gestapo/gestapo
schutzstaffel	gestapo/gestapo
sec	milissegundo
secretária	gaveta/caixa
segundo	milissegundo
seicheles	seychelles
seio	areola/aréola/aréola/esterno/colo/costela/tórax/peito
seios	areola/aréola/aréola
sela	estribo
seleção	reserva
semana	fim-de-semana/dia
semente	endosperma/epicarpo
senegal	dakar
sentença	cláusula/constituinte/oração
sepultura	lápide/lápide/estela
ser	célula/cabeça/anatomia/face/rosto/cara
serra	dente/dente
serrote	dente
servia	belgrado/kosovo
sextante	grau
seychelles	seicheles
shopping	mercadoria/produto/artigo
siberia	angara/baical
sibéria	angara/baical
sicilia	agrigento/etna/messina/palermo
sicília	agrigento/etna/messina/palermo
siderurgia	alto-forno
silogismo	conclusão
singapura	cingapura/cingapura
sintagma	modificador
siria	alepo/damasco/eufrates/lataquia/tigre
sistema	infraestructura/infraestrutura/infra-estrutura/módulo/hierarquia
sião	bancoc/banguecoque
sobrenatural	aventurança/fado/destino
sociedade	estrato/classe/setor
sol	cromosfera/cromosfera/fotosfera/fotosfera
sola	cintura
solar	sala
somalia	hargeisa/mogadiscio/mogadíscio
sombreiro	copa
sombrinha	taramela/trinco/alça/cabo
somália	hargeisa/mogadiscio/mogadíscio
sonata	movimento
soprador	jante
sri-lanka	colombo/kandy
ss	gestapo/gestapo
stone	libra
suazilandia	mbabane
suazilândia	mbabane
submarino	periscópio/sonar/sonar
submundo	aqueronte/cócito/estige
substantivo	nominal
sudao	cartum/darfur/nilo/omdurman/núbia
sudoeste	arizona/nevada/california/califórnia/texas
sudão	cartum/darfur/nilo/omdurman/núbia
suecia	estocolmo/gotemburgo/lund/malmö/uppsala/éstocolmo
suiça	alpes/basileia/basiléia/berna/interlaken/lausana/matterhorn/ródano/tessino/zurique/genebra/reno
sul	carolinas/mississippi/mississíppi/luisiana/virgínia/geórgia/maryland/tennessee
sumatra	medan
superfície	água/vão/fenda
supermercado	prateleira/estante
suriname	paramaribo
sus	porco/pé
suspensão	amortecedor
suspensório	alcinha
sutiã	alcinha
suécia	estocolmo/gotemburgo/lund/malmö/uppsala/éstocolmo
suíno	porco/pé
suíça	alpes/basileia/basiléia/berna/interlaken/lausana/matterhorn/ródano/tessino/zurique/genebra/reno
svalbard	spitsbergen
século	decênio/decênio/década/década
séculos	decênio/década
sémen	espermatozoide/espermatozóide/espermatozóide/esperma
séquito	escolta/guarda-costas/guarda
sérvia	belgrado/kosovo
sêmen	espermatozoide/espermatozóide/espermatozóide/esperma
síria	alepo/damasco/eufrates/lataquia/tigre
sítio	quinta
taberna	bar
tadjiquistão	duchambe/dushanbe/pamir
tailândia	bancoc/banguecoque
taioba	árum
taiti	papeete
taiwan	taichung/taipei/taipé/taipéi
tajiquistão	duchambe/dushanbe/pamir
talheres	taramela/trinco/alça/cabo
talmud	guemará/mishná/mixná
talmude	guemará/mishná/mixná
tamareira	tâmara/tâmara
tampa	fechadura
tanakh	hagiógrafo/pentateuco/pentateuco
tangerina	mandarina/mexerica/bergamota/bergamoteira/mexeriqueira/tangerineira
tangerineira	mandarina/mexerica/bergamota/bergamoteira/mexeriqueira/tangerina
tanzania	dar-es-salaam/dodoma/kilimanjaro/tanganica/zanzibar
tanzânia	dar-es-salaam/dodoma/kilimanjaro/tanganica/zanzibar
tapera	oásis
tarde	meia-noite/anoitecer/crepúsculo/pôr-do-sol/madrugada/poente/crepúsculo/noite
tartaruga	cuticula/cutícula/carapaça/concha
tasmania	hobart/hobart
tasmânia	hobart/hobart
tcheco-eslováquia	danúbio
tchecoslováquia	danúbio
teatro	palco/ato/camarim/platéia/bilheteira/orquestra/orquestra/banheiro
tebibyte	gibibyte
teca	taramela/trinco/alça/cabo
tecido	alicerce/bainha/pé/base
tel-aviv	jaffa
telefonia	telefone/central/central/cabo
telescópio	apertura/apertura/mira/mira/orificio/orificio/prisma/prisma/prismas/prismas/visor/visor/prisma/prisma
telescópios	apertura/mira/orificio/prisma/prismas/visor/prisma
televisão	televisor/tv/tevê/video/vídeos/vídeo/monitor/som
telhado	ladrilho
temperamento	feição/peculiaridade/índole/caráter/natureza/personalidade
templo	coluna/pilar/coluna/abside/cuboderoda/nartex/nave/nártex/presbitério/sacristia/sacristia/transepto/ábside/nave
tempo	metade/turno/jogo
tennessee	knoxville/nashville
teoria	possibilidade/suposição/hipótese/lei
terabyte	gigabyte/gigabyte
terciário	eoceno/eoceno/mioceno/oligoceno/paleoceno/plioceno
terminal	teclado
termo	sílaba/afixo
termómetro	capilar
termômetro	capilar
terneiro	vitela
terra	chão/hemisfério/relevo/céu/solo/geosfera/hidrosfera/litosfera/ar/atmosfera/domínio
tesla	gauss/gauss
tesoura	lâmina/lâmina
testamento	codicilo
testudinata	cuticula/cutícula/carapaça/concha
testículo	epididimo/epidídimo
teta	areola/aréola/aréola
tevet	chanuca/chanucá
tevê	televisor/tv/televisão/video/vídeos/vídeo/monitor/som
texas	arlington/austin/dallas/galveston/garland/houston/lubbock/lufkin/mcallen/mcallen/midland/waco/odessa/paris/colorado
texto	alínea/parágrafo/capítulo/passagem/prefácio/livro
tibete	himalaia/kanchenjunga/lassa/lhotse/makalu/nuptse/shishapangma
tijela	cóccix/púbis/púbis/sacro/ílio/ísquio/ilíaco/quadril
time	reserva
timor	timor-leste
tintura	cromóforo
tireotoxicose	exoftalmia
toada	frase
toca-discos	captador
todo	segmento/seção/porção/parte
togo	lomé
toiro	chifre/corno
tonelada	quintal
torneira	taramela/trinco/alça/cabo
tornozelo	astrágalo/tálus/tálus
torso	abdome/abdômen/bumbum/popô/talhe/bunda/cintura/estômago/nádegas/ombro/quadril/seio/ventre/abdómen/ânus/peito/anca/tronco/tronco/barriga/barriga/rabo/traseiro/fundilhos/nalga/nádega/ombro/pança/bunda/ombro/diafragma/anca/costas/membrana/banda/lado/traseiro
toscana	firenze/florença/pisa
toscânia	firenze/florença/pisa
totalidade	componente
touro	chifre/corno
traje	guarda-roupa
tranca	manilha
transatlântico	camarote
transcaucasia	arménia/armênia/azerbaijão/azerbeijão/geórgia
transistor	emissor
transmissor	antenas/antena
transmissão	embreagem/embraiagem
transvaal	witwatersrand
transístor	emissor
traqueia	epiglote
traqueostomia	ostomia
traseiro	glúteo
tratamento	terapia/medicamento/remédio
trem	suspensão
tribunal	juizado
trinidad	port-of-spain
tripé	pé/pé
trombose	trombo/trombo
tronco	abdome/abdômen/bumbum/intestino/intestinos/popô/súber/talhe/bunda/cintura/estômago/nádegas/ombro/quadril/seio/ventre/abdómen/ânus/peito/anca/barriga/barriga/barriga/casca/rabo/traseiro/fundilhos/nalga/nádega/ombro/pança/bunda/ombro/tálamo/umbigo/abdómen/diafragma/anca/costas/membrana/banda/lado/barriga/traseiro
troposfera	tropopausa
truta-arco-íris	truta
tumba	lápide/lápide/estela
tunisia	gafsa/sfax/sousse/tunes/túnis
tunísia	gafsa/sfax/sousse/tunes/túnis
turbina	estator/estator/rotor/rotor
turbinas	estator/rotor
turbofan	pós-combustão
turbojato	pós-combustão
turboélice	turbofan/turbojato
turcomenistão	ashkhabad
turno	metade/jogo
turquemenistão	ashkhabad
turquia	abidos/adana/ancara/angorá/antioquia/antália/ararat/bursa/bósforo/constantinopla/dardanelos/edirne/eufrates/halicarnasso/istambul/pergamo/pérgamo/sardes/tigre
tuvalu	funafuti
tv	video/vídeos/vídeo/som
tábua	nodo
tálamo	subtálamo
ténis	vantagem
tênis	vantagem
têxteis	bainha
túmulo	lápide/lápide/estela
túnel	poço/chaminé
ucp	placa-mãe
ucrania	carcóvia/chernobil/chernobyl/chernóbil/chornobyl/crimeia/criméia/cárpatos/danúbio/donetsk/kiev/odessa
ucránia	carcóvia/chernobil/chernobyl/chernóbil/chornobyl/crimeia/criméia/cárpatos/danúbio/donetsk/kiev/odessa
ucrânia	carcóvia/chernobil/chernobyl/chernóbil/chornobyl/crimeia/criméia/cárpatos/danúbio/donetsk/kiev/odessa
uganda	entebbe/nilo
ungulados	casco/pezunho/casco/pata/canela
unha	lúnula
unidade	segmento/seção/tomo/secção/porção/porção/pedaço/parte/parte
universo	astro/estrela
urbe	centro/centro
urss	cáspio/rússia
uruguai	montevideo/montevideu/montevidéu
usbequistão	samarcanda/tashkent
utah	colorado
uzbekistan	samarcanda/tashkent
uzbequistao	samarcanda/tashkent
uzbequistão	samarcanda/tashkent
vaca	ubre/úbere
vacas	bife/carne
vagina	hímen
vagão	suspensão
vagões	suspensão
vanuatu	vila
vaquinha	aposta
varanda	balaustrada/balaustrada/corrimão/corrimão
vasilha	rebordo/tampa/base
vasilhame	rebordo/base
vaso	rebordo/base
vaticano	vaticão
veado	galhada/chifre/corno
vegetal	fragmento/parte
vela	mecha/pavio
veleiro	vela/retranca/mastro/timão/leme/volante
velhice	sessenta/setentas
veneto	padua/pádua/veneza/verona
veneziana	ripa/sarrafo
venezuela	caracas/cumaná/maracaibo/maracay/maracaíbo/orinoco/valência
ventilador	jante
ventilação	exaustor/ventilador
ventre	intestino/intestinos/barriga/umbigo/abdómen/barriga
verbo	sílaba/afixo
verga	glande/uretra/glande/prepúcio
vermont	burlington/rutland
vertebrado	costela/seio/cauda/peito/rabo/traseiro/dígito/ventre/dedo/barriga
verão	canícula/solstício
vestido	guarda-roupa/zíper/cauda
vestimenta	guarda-roupa
vestuário	algibeira/bolso/guarda-roupa/manga/banda/faixa/olhete/pence/braguilha/forro/saia/colarinho
veículo	bagageira/porta-bagagem/porta-malas/acelerador/buzina/mala/airbag/capô/guarda-lama/porta-luvas/pára-choque/ré/terceira/teto-solar/fenestra/retrovisor/capuz/coberta/janela/teto/grade/motor/porta/portão
via	acostamento/berma/encruzilhada/cruzamento/curva/rotatória
via-láctea	heliosfera
viagem	etapa/parada
vialáctea	heliosfera
viatura	bagageira/porta-bagagem/porta-malas/acelerador/buzina/mala/airbag/capô/guarda-lama/porta-luvas/pára-choque/ré/terceira/teto-solar/fenestra/retrovisor/capuz/coberta/janela/teto/grade/motor/porta/portão
vida	nascimento/idade/queda/época/passado/fim/morte/período
videira	uva
vietname	haiphong/hanoi/hanói
vietnã	haiphong/hanoi/hanói
virgínia	fredericksburg/richmond/roanoke
vitelo	vitela
vitiligo	hipopigmentação
vivenda	estudio/mansarda/trapeira/sótão/ático/escritório/alpendre/biblioteca
vocabulário	verbete
vocalização	fone/fonema
vocábulo	sílaba/afixo
vulva	clitóris/clitóris/clítoris/clítoris/grelo/grelo/uretra/uretra/lábio/lábio/vagina/berbigão/berbigão
véneto	padua/pádua/veneza/verona
véspera	anoitecer/crepúsculo/pôr-do-sol/poente/crepúsculo
vêneto	padua/pádua/veneza/verona
washington	bellingham/georgetown/kennewick/olímpia/seattle/spokane/yakima/capitólio/vancouver
wisconsin	madison/milwaukee/wausau
wyoming	cheiene/cheyennes/laramie
xadrez	movimento
yobibyte	zebibyte
yottabyte	zettabyte
zebibyte	exabyte/exbibyte
zettabyte	exabyte
zimbabué	bulawayo/harare/zambeze
zimbabwe	bulawayo/harare/zambeze
zimbábue	bulawayo/harare/zambeze
zimbábwe	bulawayo/harare/zambeze
zodíaco	signo/aquarius/aries/cancer/capricornus/gemini/leo/león/sagittarius/scorpius/virgo/ânfora/balança/capricórnio/câncer/escorpião/leão/libra/peixes/pisces/sagitário/taurus/virgem/áries/gêmeos/touro
zâmbia	lusaka/zambeze
áfrica	abissínia/angola/benim/benin/botsuana/botswana/burundi/burúndi/congo-brazzaville/congo-kinshasa/daomé/egipto/etiopia/etiópia/gabao/gabão/gana/guiné/guiné-bissau/gâmbia/lesoto/libéria/líbia/magrebe/malaui/malavi/malawi/mali/malávi/mauritania/mauritânia/moçambique/máli/namibia/namíbia/niger/nigeria/nigéria/quenia/quénia/quênia/rodésia/ruanda/saara/senegal/somalia/somália/suazilandia/suazilândia/sudao/sudão/tanganyika/tanzania/tanzânia/togo/uganda/zimbabué/zimbabwe/zimbábue/zimbábwe/zâmbia/barbária/camarões/djibouti/djibuti/egito/jibuti/madagascar/madagáscar/níger/núbia/chade/chade
água	albufeira/reservatório/lago/aqueduto
árabia	hejaz/iemen/iémen/iêmen/néjede/oman/omã/catar/qatar
árvore	toco/tronco
ásia	afeganistão/anatolia/anatólia/arábia/bahrain/bangladeche/bangladesh/bareine/butao/butã/butão/canaã/casaquistão/cazaquistao/cazaquistão/china/coreia/coréia/iemen/india/irao/iraque/irã/irão/iémen/iêmen/jordania/jordânia/líbano/nepal/oman/omã/paquistão/pártia/quirguistao/quirguistão/quirguizistão/siria/síria/tadjiquistão/tajiquistão/tibete/turcomenistão/turquemenistão/turquestão/usbequistão/uzbekistan/uzbequistao/uzbequistão/árabia/índia/bahrein/barém/catar/coveite/cuaite/japão/kuwait/mongólia/mongólia/pérsia/pérsia/qatar/quirguiz
átomo	núcleo
áustria	alpes/danúbio/graz/innsbruck/linz/salzburgo/tirol/viena/vienne
ångström	picometro
égua	anca
éon	era
ética	preceito/princípio
índia	agra/assam/bangalore/bihar/bombaim/bombaím/calcutá/caxemira/chennai/deli/déli/ganges/goa/gujarat/himalaia/jabalpur/karnataka/lucknow/maharashtra/manipur/mysore/orissa/sikkim/siquim/guzerate/hyderabad
índice	palavra-chave
índico	madagascar/madagáscar/seicheles/seychelles
íris	pupila/pupila
óculo	pálpebra/conjuntiva/coroide/coróide/cristalino/córnea/epicanto/epicanto/esclera/esclerótica/retina/íris/úvea/íris/lente/abertura
ópera	ato/aria/ária/ária/árias
órbita	lacrimal
órgão	pedal/teclado
óvulo	gema
ônibus	fenestra/janela/teto
útero	cérvix/cérvix/endométrio/miométrio/placenta

