abacateiro	persea
polonês	polonia/polónia/polônia
polygala	polygalaceae
polygalaceae	geraniales
polygonaceae	polygonales
polygonales	magnoliopsida
polygonatum	liliaceae
polygonum	polygonaceae
polícia	lei
pomacanthus	chaetodontidae
pomacentridae	perciformes
pomaderris	rhamnaceae
pomba	columbidae
pombo	columbidae
pombo-comum	columba
pongo	chimpanzé
pontederia	pontederiaceae
pontederiaceae	commelinales
pontuação	ortografia
pontífice	papado
população	humanidade/mundo/homem/povo
porco	dela/seu/suidae/suídeos
porco-espinho	erinaceus
porco-montês	dela/seu
porphyrio	rallidae
porquinho	dela/seu
portugal	otan/ue
português	portugal
portulacaceae	caryophyllales
porzana	rallidae
possa	crataegus
potamogeton	potamogetonaceae
potentilla	rosaceae
poterium	rosaceae
potro	égua/cavalo
pouteria	sapotaceae
povo	humanidade/mundo/homem
preguiça-gigante	megatério
prenanthes	asteraceae
priacanthidae	perciformes
primata	primatas
primatas	placentalia/placentários
primulaceae	primulales
primulales	magnoliopsida
proboscidea	pedaliaceae/placentalia/placentários
proboscídeos	placentalia/placentários/proboscidea
procellariidae	procellariiformes
procellariiformes	aves
procionídeos	carnivora/carnívoros
procnias	cotingidae
procyon	procionídeos
professor	colégio/escola
progenitor	família
proletário	proletariado
prosauropoda	sauropodomorfos
prosopis	mimosoideae
proteaceae	proteales
proteales	magnoliopsida
proteus	proteidae
protista	protistas
protium	burseraceae
protozoário	protozoários
província	país/nação/terra
prumnopitys	podocarpaceae
prunus	rosaceae
prussiano	prussia/prússia
pseudobombax	bombacaceae
pseudolarix	pinaceae
pseudotaxus	taxaceae
pseudotsuga	pinaceae
psidium	myrtaceae
psilotum	psilophyta
psithyrus	apidae
psittacula	papagaio/psittacidae
psychodidae	nematocera
psychopsis	orchidaceae/orquidea/orquídea
psychotria	rubiaceae
pteridophyta	pteridófitas
pteridófitas	plantae
pterodáctilo	pterodactilo
pterospermum	sterculiaceae/sterculioideae
pterostylis	orchidaceae/orquidea/orquídea
puffinus	procellariidae
pulicaria	asteraceae
pulmonata	gastrópodes
puma	felis
pycnanthemum	lamiaceae
pyralidae	lepidoptera
pyrolaceae	ericales
pyrrhula	fringillidae
pároco	clero
pássaro	aves
pérsia	opep
pícea	picea/pinaceae
pólipo	cnidarios/cnidários
pólux	gemini/gêmeos
qatar	opep
quacre	quaker
quaqueiro	quaker
quati	procionídeos
queniano	quenia/quénia/quênia
quercus	fagaceae/fagáceas
quiabeiro	abelmoschus
quiabo	abelmoschus
quirguistao	cei
quirguistão	cei
quirguiz	cei
quirguizistão	cei
quivi	actinidia
quorum	organização
quáquer	quaker
quórum	organização
rabanete	raphanus
rabo-de-palha	pelecaniformes
rafflesiaceae	aristolochiales
raia	dasyatidae
rajiformes	elasmobranchii
rallidae	gruiformes
rami	boehmeria
ranunculaceae	ranunculales
ranunculales	magnoliidae
ranunculus	ranunculaceae
rapateaceae	commelinales
raphanus	brassicaceae
raposa	raposas/vulpes
raposa-cinzenta	urocyon
raposas	canídeos
ratibida	asteraceae
raça	espécie/espécies/espécie
reduviidae	percevejos/percevejo
regulus	leo/león/leão
reino-unido	otan/ue
reithrodontomys	cricetidae
repolho	brassica
reptantia	decapoda
resedá-gigante	lagerstroemia
retrophyllum	podocarpaceae
rhabdovirus	família/classe
rhabdovírus	família/classe
rhamnaceae	rhamnales
rhamnales	magnoliopsida
rhapis	arecaceae/palmeira
rhexia	melastomataceae
rhincodontidae	elasmobranchii
rhizophora	rhizophoraceae
rhizophoraceae	myrtales
rhus	anacardiaceae
rhyacotritonidae	dicamptodontidae
ribes	grossulariaceae
rickettsiaceae	rickettsiales
rimu	dacrydium
rinoceronte	rinocerontes
rivina	phytolaccaceae
robalo	serranidae
rodízio	castores/castoridae
rola	columbidae
rolieiro-europeu	coracias
romano	roma
romena	roménia/romênia/ruménia
romeno	roménia/romênia/ruménia
romneya	papaveraceae
romã	punica
romãzeira	punica
rooibos	aspalathus
rorippa	brassicaceae
rorqual-azul	balaenoptera
rosa-do-deserto	apocynaceae
rosaceae	rosales
rosales	rosidae
rosidae	magnoliopsida
rosmarinus	lamiaceae
rouxinol	luscinia
roystonea	arecaceae/palmeira
ruandês	ruanda
rubia	rubiaceae
rubiaceae	rubiales
rubiales	asteridae
rubus	rosaceae
rudbeckia	asteraceae
rumex	polygonaceae
ruminante	ruminantia
ruminantes	ruminantia
rupicola	cotingidae
ruscaceae	liliaceae
ruscus	liliaceae
russo	rússia
rutaceae	geraniales
rutilus	cyprinidae
rutáceas	geraniales
rábano	raphanus
rã-touro-americana	rana
rôla	columbidae
rússia	cei
sabal	arecaceae/palmeira
sabinos	italia/itália
sabiá	turdidae/turdinae/turdídeos
sabugueiro	caprifoliaceae
saccharum	poaceae
sacerdote	clero
sagina	caryophyllaceae
sagittaria	alismataceae
saintpaulia	gesneriaceae
salamandra	salamandridae
salamandra-de-fogo	salamandra
salmo	salmonidae
salmão	salmonidae
salsa	petroselinum
salvador	oea
salvadora	salvadoraceae
salvadoraceae	gentianales
salvadorenho	salvador
salvadoriano	salvador
samoano	samoa
samolus	primulaceae
sanicula	apiaceae
santalaceae	santalales
santalales	dilleniidae
santalum	santalaceae
santolina	asteraceae
sanvitalia	asteraceae
sapindaceae	sapindales
sapindales	magnoliopsida
sapindus	sapindaceae
sapo	bufonidae
saponaria	caryophyllaceae
sapotaceae	ebenales
sarcochilus	orchidaceae/orquidea/orquídea
sarcophilus	dasyuridae
sarracenia	sarraceniaceae
saturniidae	lepidoptera
sauropodomorfos	saurísquios
saururaceae	piperales
saurópodes	sauropodomorfos
saussurea	asteraceae
saxicola	turdidae/turdinae/turdídeos
saxifraga	saxifragaceae
saxifragaceae	rosales
scaphosepalum	orchidaceae/orquidea/orquídea
scardinius	cyprinidae
scaridae	perciformes
schefflera	araliaceae
schinus	anacardiaceae
schizachyrium	poaceae
schizophragma	hydrangeaceae
schomburgkia	orchidaceae/orquidea/orquídea
sciaenidae	perciformes
scindapsus	araceae
scirpus	cyperaceae
scleranthus	caryophyllaceae
scolymus	asteraceae
scopolia	solanaceae
scrophularia	scrophulariaceae
scutellaria	lamiaceae
scyliorhinidae	elasmobranchii
scyphozoa	cnidarios/cnidários
secale	poaceae
selenipedium	orchidaceae/orquidea/orquídea
sem-vergonha	anoplura
senecio	asteraceae
senegalês	senegal
sequoiadendron	cupressaceae
sequóia	cupressaceae
seriema	gruiformes
seriguela	spondias
serigüela	spondias
seringueira	euphorbiaceae
serinus	fringillidae
serranidae	perciformes
serranus	serranidae
serratia	enterobacteriaceae
serval	felis
sesamum	pedaliaceae
setaria	poaceae
seu	suidae/suídeos
shimeji-preto	pleurotus
shiva	trimurti/trimúrti
shorea	dipterocarpaceae
sialidae	megaloptera
siamês	tailândia/sião
siberiano	siberia/sibéria
siciliano	sicilia/sicília
sicômoro	ficus/figueira
sida	malvaceae
sidalcea	malvaceae
sideritis	lamiaceae
silurus	siluridae
silybum	asteraceae
simaroubaceae	geraniales
sinapis	brassica/brassicaceae
singapura	asean
singapurense	cingapura/singapura
singapuriano	cingapura/singapura
sinningia	gesneriaceae
sirenia	placentalia/placentários
siri-azul	siri
sisyrinchium	iridaceae
sium	apiaceae
sião	asean
sloanea	elaeocarpaceae
smilacaceae	liliaceae
smilax	liliaceae
soja	glycine
solandra	solanaceae
solanum	solanaceae
somali	somalia/somália
sonchus	asteraceae
sonora	colubridae
sorbus	rosaceae
sorghum	poaceae
soror	sororidade
spalacidae	myomorpha
spalax	spalacidae
sparaxis	iridaceae
sparganiaceae	pandanales
sparidae	perciformes
spartina	poaceae
spergula	caryophyllaceae
spergularia	caryophyllaceae
sphaeralcea	malvaceae
spheniscus	spheniscidae
sphingidae	lepidoptera
spica	virgo/virgem
spinuş	fringillidae
spiraea	rosaceae
spiranthes	orchidaceae/orquidea/orquídea
spondias	anacardiaceae
sporobolus	poaceae
squalidae	elasmobranchii
squatinidae	elasmobranchii
stachys	lamiaceae
stanleya	brassicaceae
stellaria	caryophyllaceae
stenocarpus	proteaceae
stenotaphrum	poaceae
stephanomeria	brassicaceae
sterculiaceae	malvales
sterculioideae	malvales
stereospondyli	labirintodonte
sterna	sternidae
sternidae	laridae/larídeos
stokesia	asteraceae
strelitzia	strelitziaceae
strepera	artamidae
streptopelia	columbidae
strigidae	coruja/strigiformes
strigiformes	aves/coruja
strix	strigidae
stromateidae	perciformes
strombidae	gastrópodes
stylomecon	papaveraceae
stylophorum	papaveraceae
styracaceae	ebenales
substantivo	declinação
subularia	brassicaceae
sueca	suecia/suécia
suecia	ue/escandinávia
sueco	suecia/suécia
sugador	cypriniformes
sula	sulidae/sulídeos
sulidae	pelecaniformes
sulídeos	pelecaniformes
sundacarpus	podocarpaceae
suriname	oea
sus	dela/seu
suázis	suazilandia/suazilândia
suçuarana	felis
suécia	ue/escandinávia
suíno	dela/seu/suidae/suídeos
swainsona	fabaceae
swertia	gentianaceae
sylvilagus	leporidae
symphoricarpos	caprifoliaceae
syngnathus	syngnathidae
syngonium	araceae
syringa	oleaceae
syzygium	myrtaceae
sável	alosa
sândalo	santalum
sérvio	servia/sérvia
sérvios	servia/sérvia
sócio	sócios
súdito	nação/gente/povo
tabernaemontana	apocynaceae
tadarida	molossidae
tadjiquistão	cei
tadorna	anatidae
tailandês	tailândia/sião
tailândia	asean
taitiano	taiti
taiwanesa	formosa/taiwan
taiwanês	formosa/taiwan
tajiquistão	cei
talinum	portulacaceae
talpidae	insectívoros
talófita	plantae
tamanduá	xenarthra
tamarga	tamarix
tamargueira	tamarix
tamarilho	cyphomandra
tamarisco	tamarix
tamarix	tamaricaceae
tamariz	tamarix
tamboril	lophiidae
tamus	dioscoreaceae
tanacetum	asteraceae
taricha	salamandridae
tarrafa	falcao/falco/falcão
tarântula	aranhas/lycosa/theraphosidae/aranha
tatu-bola-da-caatinga	tatu-bola
tatu-de-folha	dasypus
tatu-galinha	dasypus
tatu-veado	dasypus
tatu-verdadeiro	dasypus
tatuetê	dasypus
tavão	tabanidae
taxaceae	coníferas
taxi	frota
taxodiaceae	cupressaceae
taxodium	cupressaceae
taxus	taxaceae
tchecoslovaco	checoslovaquia/checoslováquia/tcheco-eslováquia/tchecoslováquia
tebano	tebas
tecla	teclado
teixo	taxaceae/taxus
teju	teiidae
teleostei	osteichthyes
temnospondyli	labirintodonte
tenca	tinca
tenrecidae	insectívoros
tentaculata	ctenophora
tentilhão	fringilla/fringillidae
terebinto	pistacia
terneiro	vacas/bovinos/gado
terópoda	sauropodomorfos
terópodes	sauropodomorfos
tetra-cardeal	paracheirodon
tetraclinis	cupressaceae
tetragonia	aizoaceae
tettigoniidae	orthoptera
teucrium	lamiaceae
thalassoma	labridae
thalictrum	ranunculaceae
thamnophilidae	formicariidae
theobroma	sterculiaceae/sterculioideae
theophrastaceae	primulales
theraphosidae	aranhas/aranha
thespesia	malvaceae
thevetia	apocynaceae
thlaspi	brassicaceae
threskiornis	threskiornithidae
threskiornithidae	ciconiiformes
thrinax	arecaceae/palmeira
thuja	cupressaceae
thujopsis	cupressaceae
thunbergia	acanthaceae
thylacinus	dasyuridae
thylacomyidae	peramelidae
thylogale	macropodidae
thymelaeaceae	myrtales
thyreophora	ornitísquios
thysanocarpus	brassicaceae
tigre	panthera
tigre-da-tasmânia	thylacinus
til	tilia/tília
tilacino	thylacinus
tilapia	cichlidae
tilia	tiliaceae
tiliaceae	malvales
tillandsia	bromeliaceae
time	homens/mão-de-obra
tinca	cyprinidae
tiquetaque	àcaro/ácaros/ácaro
tireoforanos	ornitísquios
titi	cebídeos
todidae	coraciiformes
todus	todidae
togolense	togo
tojal	ericaceae
tolmiea	saxifragaceae
tonganês	tonga
toona	meliaceae
topeira	talpidae/toupeira
torda	charadriiformes
tordo	turdidae/turdinae/turdídeos
torpedo	torpedinidae
torreya	cephalotaxaceae
tortricidae	lepidoptera
toupeira	insectívoros/talpidae
townsendia	asteraceae
toxicodendron	anacardiaceae
toxotidae	perciformes
trabalhador	proletariado
trachelospermum	apocynaceae
tradescantia	commelinaceae
tragelaphus	bovídeos
tramaga	tamarix
tramagueira	tamarix
trapa	trapaceae
trapaceae	myrtales
trem	caminhos-de-ferro/locomotivas/comboio
trema	ulmaceae
trevo	medicago/trifolium
triakidae	elasmobranchii
tribo	família/classe
tribulus	zygophyllaceae
trichiuridae	perciformes
trichoglossus	loriinae
trichostema	lamiaceae
tridacna	tridacnidae
tridacnidae	bivalves/bivalvia
trifolium	fabaceae
trifólio	medicago
triglochin	juncaginaceae
tringa	scolopacidae
tripleurospermum	asteraceae
triplochiton	sterculiaceae/sterculioideae
tripulante	equipagem/tripulação/equipe
triturus	salamandridae
tritão	salamandridae
trogoniformes	aves
troiana	troia/tróia
troiano	troia/tróia
trollius	ranunculaceae
tropaeolaceae	geraniales
tropaeolum	tropaeolaceae
tropas	corpo
truta	salmo
truta-arco-íris	salmo
trácio	trácia
trágulo	ruminantia
tsuga	pinaceae
tuaregues	saara
tulipa	liliaceae
tunesiano	tunisia/tunísia
turco	turquia
turcomenistão	cei
turdo	turdus
turdus	turdidae/turdinae/turdídeos
turniciformes	gruiformes
turquemenistão	cei
turquia	otan
tutsis	burundi/burúndi/ruanda
typhaceae	pandanales
tyto	tytonidae
tytonidae	coruja/strigiformes
táxi	frota
tília	tilia/tiliaceae
túlipa	tulipa
tútsis	burundi/burúndi/ruanda
uacari	cebídeos
uapiti	cervus
ucrania	cei
ucraniano	ucrania/ucránia/ucrânia
ucránia	cei
ucrânia	cei
ugandense	uganda
uintatério	uintatheriidae
ulmaceae	urticales
ulmeiro	ulmaceae
ulmo	ulmeiro
ulvaceae	ulvales
ulvales	chlorophyceae
ulvophyceae	chlorophyta
umbellularia	lauraceae
ungulados	equidae/equídeos
unio	unionidae
unionidae	bivalves/bivalvia
universidade	faculdade/instituto/escola
uria	torda
urocyon	canídeos
uropsilus	talpidae/toupeira
urso-pardo	ursus
urticaceae	urticales
urticales	magnoliopsida
uruguai	oea
uruguaia	uruguai
uruguaio	uruguai
urze	ericaceae
usbequistão	cei
utricularia	lentibulariaceae
uva-espim	berberis/bérberis
uzbekistan	cei
uzbequistao	cei
uzbequistão	cei
vacas	grei/manada/rebanho/gado/bos
vaccinium	ericaceae
vaga-lume	lampíride/lumeeira/pirilampo
vagem	phaseolus
vagão	caminhos-de-ferro/locomotivas/trem/comboio/mixto
vagões	caminhos-de-ferro/locomotivas/trem/comboio
valeriana	valerianaceae
valerianaceae	rubiales
vallisneria	hydrocharitaceae
vangueria	rubiaceae
variante	espécie/espécies/espécie
veado	cervus
veados	cervus
vega	lyra
vegetal	plantae
vegetação	biota/biologia
veneziano	veneza
venezuela	oea/opep
venezuelano	venezuela
veratrum	liliaceae
verbesina	asteraceae
verbo	conjugação
verde-azulado	anas
vereador	concílio
verme	cestoda/trematoda
vertebrado	craniata
vespa	apoidea
vespa-cabocla	vespidae
vespidae	hymenoptera
vibora	viperidae
viburnum	caprifoliaceae
videira	vitis
vieira	bivalves/bivalvia/pectinidae
vietname	asean
vietnamita	vietname/vietnã
vietnã	asean
vinca	apocynaceae
viperina	echium
viscaceae	santalales
viscacha	lagostomus
visco	viscum
viscum	viscaceae
vitaceae	rhamnales
vitelo	vacas/bovinos/gado
vitis	vitaceae
viverrinae	carnivora/carnívoros
vixnu	trimurti/trimúrti
volvocaceae	chlamydomonadales
volvox	volvocaceae
votante	eleitorado
votantes	eleitorado
voto	eleitorado
vulpes	canídeos
vêneto	veneza
víbora	viperidae
wasabi	brassicaceae
winteraceae	ranunculales
xanthorrhoeaceae	liliaceae
xanthosoma	araceae
xenopus	pipidae
xerophyllum	liliaceae
xerpas	nepal/tibete
xiphosura	merostomata
xylomelum	proteaceae
xylopia	annonaceae
xyridaceae	commelinales
xyris	xyridaceae
zairense	congo-kinshasa
zambiano	zâmbia
zantedeschia	araceae
zanthoxylum	rutaceae/rutáceas
zarro	anatidae
zebra	equus
zebu	bos
zigadenus	liliaceae
zimbabuano	rodésia/zimbabué/zimbabwe/zimbábue/zimbábwe
zimbabuense	rodésia/zimbabué/zimbabwe/zimbábue/zimbábwe
zimbro	juniperus
zingiber	zingiberaceae
ziziphus	rhamnaceae
zoologia	biota/biologia
zooplâncton	plancton/plâncton
zostera	potamogetonaceae
zulu	kwazulu-natal/natal
zygnematales	chlorophyceae
zygophyllaceae	geraniales
zygophyllum	zygophyllaceae
zâmbio	zâmbia
ácaro	àcaro/ácaros
águia	accipitridae
águia-rapace	aquila
águia-real	aquila
águias	accipitridae
árabe	arábia/árabia
árvore	bosque/mata/floresta
átropos	moiras
áustria	ue
ébano	diospyros
égua	equidae/equus/equídeos
índia	opep
ítalo	italia/itália
ônibus	frota
