aba	acostamento/berma
ideia	regulamento/atributo/noção/categoria/consideração/norma/possibilidade/soma/característica/idéia/suposição/teoria/lei/quantidade/regra/hipótese/reflexão/propriedade/qualidade/família/número/classe
idioma	lemas/locução/mote/cambial/conversação/encantamento/feitiço/lema/linguagem/provérbio/ditado/expressão/conversa/língua
idéia	projecto/conceito/regulamento/atributo/noção/categoria/concepção/norma/possibilidade/programação/soma/característica/suposição/tema/teoria/lei/motivo/projeto/quantidade/regra/hipótese/preocupação/propriedade/qualidade/família/ideia/intenção/programa/plano/número/classe
igreja	mesquita/mesquitas/catedral/igrejas/templo
igrejas	catedral
igualar	empatar/corresponder/combinar/concordar/representar
iludir	atraiçoar/emboscar/trair
iluminar	brilhar
iluminar-se	iluminar/brilhar
iluminação	trevas/escuridão
ilustração	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/imagem/figura/modelo/plano/desenho
imagem	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/figura/ilustração/modelo/plano/desenho
imaginar	conjeturar/conjecturar/esboçar/desenhar/projectar/projetar/planejar/pensar
imobiliária	terras/fazenda
impedimento	interferencia/atrapalhação/obstáculo
imperfeição	flaw/defeito/falha/erro
impetrar	comandar/convocar/exigir/chamar/ordenar
implementação	jeito/modo/maneira/ferramenta/meio/caminho
implemento	brocha/escova/furadeira/gancho/pincel/bastão/pau/vara/agulha/instrumento/barra/ferramenta
imposto	colectas/impostos/taxação/taxa/tributo
imprensa	periódico/jornal/folha
impressionar	comover/disturbar/emocionar/perturbar
impulsionar	atirar/jogar/lançar
impulsão	pontaria/tiro
imóvel	terras/fazenda
incerteza	receio/desconfiança
incidente	contágio/spillover/infecção
inclinar	cair
incluir	abranger/compreender/conter/ter
incompatibilidade	conflitos/conflito
incremento	acréscimo/acumulação
independência	autonomia
indicação	indício/sugestão/identificação/pista
indiferença	desapego/afastamento
indivíduo	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante
industria	transportação/turismo/aventura/indústria/manufatura/transporte/expedição
induzir	persuadir/encorajar
indústria	aviação
influenciar	dominar
influir	dominar
influência	compreensão
informar	desinformar/divagar/leccionar/lecionar/testificar/alertar/atualizar/descerrar/ensinar/atestar/divulgar/evidenciar/narrar/recontar/esclarecer/testemunhar/minimizar/avisar/enganar/soprar/advertir/instruir/apontar/introduzir/explicar/provar/revelar/lembrar/apresentar/contar/indicar/mostrar
informação	curricula/divulgação/ementa/formatação/propaganda/currículo/notícia/circunstância/formato/instância/notícias/propaganda/consideração/evidência/familiaridade/fato/matriz/matéria/segredo/conhecimento/exemplo/representante/programa/artigo
infortunado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente
infortúnio	lástima/calamidade/cataclismo/catástrofes/tragédia/catástrofe/flagelo/desastre/pena
infra	rack/prateleira
ingerir	deglutir/ingurgitar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar
ingresso	inscrição/matricula/matrícula/registro
iniciar	endereçar/lidar/tratar/falar/cobrir
inimizade	tensão
inquérito	indagação/quesito/interrogação/pergunta/desafio/questão
inscrever	registar/registrar
inserção	injeção
insolvência	bancarrota/falência
inspecionar	revistar/procurar
instalação	calefacção/aquecimento/calefação
instante	saída/prazo/início/começo/princípio
instruir	reforçar/educar/preparar/treinar
instrumentalista	cantador/cantor/vocalista
instrumentista	cantador/cantor/vocalista
instrumento	acendedor/arapuca/brocha/chibata/encosto/engenhoca/escova/filtros/furadeira/gadget/sensor/apetrecho/armadilha/açoite/chicote/filtro/gancho/implemento/maquinaria/pincel/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/armamento/bastão/pau/equipamento/vara/arma/chave/mecanismo/máquina/suporte/agulha/barra/ferramenta/rede
instrução	experiência
instância	mostra/precedente/excepção/exceção/amostra
insucesso	equívoco/engano/falha/erro
intelecto	estudioso/gênio/pensador/erudito/especialista/mente/teórico/acadêmico/intelectual
intelectual	estudioso/gênio/pensador/erudito/especialista/mente/teórico/acadêmico
inteligência	genealidade/brilho/talento
intensidade	violência/força
intenção	finalidade/acepção/intento/propósito/significação/matiz/objectivo/sentido/objetivo/significado/fim
interagir	tratar/encontrar/reunir
interação	contato/ligação
intercorrência	cabimento/default/possibilidade/padrão
interesse	entusiasmo/preocupação
interrogatório	entrevista
interromper	pausar/parar
interrupção	descanso/repouso/pausa
intervalo	interrupção/horário/suspensão/parada/pausa/período
intimar	comandar/convocar/exigir/chamar/ordenar
intimidar	terrificar/horripilar/aterrorizar
introdução	injeção
intérprete	actor/ator/artista
inventar	manufaturar/fabricar
invertebrado	verme
invertebrados	verme
investigação	escuta/examinação/busca/grampo/procura/exame/inquérito/pesquisa/teste
investir	especular
início	iniciativa
ir	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/andar/subir/passar/cair
ira	fúria/cólera/raiva
irar	injuriar/ofender/insultar/irritar
ironizar	escarnear/tantalizar/sacanear
irradiar	alumiar/piscar/cintilar/brilhar
irritar	coçar/esfregar
isqueiro	fósforo
itinerário	órbita/trilha
itinerários	órbita/trilha
jejum	dieta
joalharia	anel/joia/jóia/anel/gema/aliança
joalheria	anel/joia/jóia/anel/gema/aliança
jogar	arremessar/arremeter/apostar/atirar/lançar
jogo	jogada/competição/torneio/corrida/combate/partida/luta/classe
jornada	anoitecer/véspera/tarde/passeio/viagem/noite
jornal	resenha/periódico/revista/série/folha
jornalismo	periódico/jornal/folha
jovem	adolescente/moço/rapaz/moça/rapariga
juiz	magistrado/jurista
julgar	hierarquizar/inocentar/ranquiar/antecipar/absolver/medir/condenar/confessar/classificar/estimar/avaliar/pensar/reconhecer/admitir/escolher/achar
junta	comité/comitê/conselho/júri
juntar	catar/aderir/fixar/colher/apanhar/grudar/amarrar/atar/colar/prender
junção	coalescência
justeza	corretude/justiça/direito
justiça	justeza/corretude/honra/direito
juvenil	adolescente/moço/rapaz/moça/rapariga
jóia	anel/joia/anel/gema/aliança
laboratório	chácara/estudio/laboratorio/laboratórios/estúdio/granja/quinta/oficina/sítio/fazenda/trabalho
lacticínio	manteiga/queijo/creme/nata/leite
ladeira	declividade/ribeira/barranco/descida/declínio/margem
lado	superior/topo/fundo
lago	albufeira/reservatório
laje	ladrilho
lançar	arremessar/arremeter/atirar
lar	vivenda/habitação/casa
largar	demitir-se/quitar/resignar/renunciar/abandonar
laticínio	manteiga/queijo/creme/nata/leite
lavar	lavar-se/limpar
leccionar	reforçar/educar/instruir/preparar/treinar
lecionar	reforçar/educar/instruir/preparar/treinar
legenda	oposição
legislatura	parlamento/congresso/assembléia
legume	aboboreira/jerimum/pepineiro/pepino/abóbora
lei	constituição/princípio/regra
leis	constituição
leitura	hora
lembrar	relembrar/recordar/rever/reter/reconhecer
lembrar-se	reconhecer
lesar	aferroar/apunhalar/esfaquear/ferir/danificar/machucar
lesionar	aferroar/apunhalar/esfaquear/lesar/ferir/danificar/machucar
lesão	picada/ferida/fractura/fratura/ferimento/queimadura
letra	asterisco/caracter/caractér/carácter/maiúscula/inicial/espaço
levantar	bombear
levar	transportar/trazer/carregar/tirar
liberar	sangrar
liberdade	autonomia/independência
lidar	gerenciar/aguentar
liderança	administrador/executivo/gerente/frente
liga	aço
ligação	convivência/pertinência/relevância/afiliação/filiação/associação/conhecido/nó/amizade/sociedade/conexão/relação
limitar	constrangir/conquistar/sufocar/classificar/reprimir/suprimir/restringir/conter/controlar
limitação	travão/trela/freio/grilhão/algema/coleira/cadeia
limite	acostamento/berma/delimitação/contorno/superfície/margem/borda/fronteira
limpar	lavar-se/escovar/varrer/lavar
linguagem	fala/idioma/língua
linha	curvas/filaúnica/toa/umapósooutro/fila/curva/órbita/trilha/corda/bicha/arco/cabo
linhagem	família
lipido	lípidos/gordura/óleo
lipídio	lípidos/gordura/óleo
lista	cronograma/menu/índice/agenda/pauta/horário/chave/programa
listagem	cronograma/lista/menu/índice/agenda/pauta/horário/chave/programa
litoral	beira-mar/costa
livro	album/apostila/folheto/livreto/opúsculo/sebenta/álbuns/brochura/caderno/catálogo/panfleto/álbum/compêndio/texto
livros	album/álbuns/caderno/álbum
lixo	detrito/negar-sea/resíduos/resíduo
local	direita/esquerda/lugar
localização	regiões/ocidente/selva/floresta/espaço/região
locação	cemitérios/necrópole/regiões/campismo/cemitério/escavação/ocidente/selva/floresta/acampamento/espaço/região
locução	lemas/mote/cambial/lema
lograr	atraiçoar/emboscar/trair
lousa	painel
louvar	preconizar/publicitar/recomendar/divulgar/promover/anunciar
lugar	cemitérios/necrópole/regiões/campismo/cemitério/escavação/ocidente/procedência/selva/vértice/direita/esquerda/floresta/raiz/acampamento/centro/espaço/área/canto/nascente/região/fonte
luta	peleja/pugna/insurreição/revolta/guerra/rebelião/disputa/combate/batalha
lutar	pugnar
luz	feixe/sol/brilho/raio
lâmpada	luz
líder	empregador/administrador/executivo/gerente/herói/político/treinador/cabeça/guia/chefe/liderança/exemplo/técnico/responsável/modelo
língua	fala/linguagem/idioma
lípido	lípidos/gordura/óleo
lípidos	gordura/óleo
líquido	água
líqüido	bebida/líquido
macho	garoto/moço/rapaz/menino/homem
machucado	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
machucar	aferroar/lesionar/apunhalar/esfaquear/lesar/ferir/danificar
madeira	tora/tronco
magnitude	amplidão/anchura/largura/tamanho/dimensão/medida/proporção/grau/extensão
mal	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
maltrato	abuso/descuido/injúria/negligência
mamífero	morcego/quirópteros/gado/pecuária
manar	entornar/verter/derramar
mandar	comandar/convocar/exigir/chamar/ordenar
manejar	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar
mangar	paquerar/desacreditar/ridicularizar/sacanear/expor/provocar
manipulador	conductor/chofer/condutor/motorista
manipular	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar
manobra	ofensiva/campanha/medida/passo/ataque
manobrar	estacionar
manter	armazenar/financiar/acumular/negar/suportar/guardar
manusear	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar
mapa	gráfico
maquinaria	moinhos/calculadora/maquinário/moinho/computador/imprensa/máquina
maquinário	moinhos/moinho
marca	rótulo/etiqueta
marcadores	rótulo/etiqueta
marcar	grifar/sublinhar
marco	flecha/ponteiro
marido	cônjuge/esposa/esposo/varão/mulher/homem
matar	decapitar/degolar/executar
materiais	minérios/química/thread/mineral/fibras/lixo/resíduo/condutor/fibra/substância/papel
mato	rosa/rosas/rosa
matéria	barro/geleca/gosma/lodo/líqüido/sedimento/fluido/lama/substância/depósito
mecanismo	acendedor/arapuca/autômato/encosto/engenhoca/filtros/gadget/robô/sensor/andróide/apetrecho/armadilha/eixo/engrenagem/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/barreira/chave/marcha/máquina/suporte/instrumento/ferramenta/rede
medicamento	terapia/dose/remédio
medida	peso
medir	durar/pesar
medição	peso
medo	estupefação/pânico/consternação/terror
meio	habitat/cenário
melhora	restauração/renovação
melhoramento	retificação/reforma/correção
melhorar	aprimorar/convalescer/reparar/emendar/lustrar/consertar/polir/recuperar/refinar/reformar
melhoria	reaparecimento/ressurgência/restauração/retificação/revitalização/revivalismo/reforma/ressurreição/retomada/renovação/anexo/correção/asa
membro	coxa/braço/anca/perna
memória	associação/conexão
mencionar	aludir/citar
menino	bebé/criancinha/nenê/recém-nascido/bebê
menor	adolescente/moço/rapaz/moça/rapariga
menosprezar	escarnear/tantalizar/sacanear
mensagem	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/requerimento/significância/submissão/tolice/agouro/bobagem/indício/presságio/propaganda/requisição/significação/solicitação/conselho/correio/direção/indicação/linguagem/matéria/promoção/publicidade/transmissão/tópico/assunto/besteira/discurso/petição/tema/idioma/informação/apelo/opinião/significado/anúncio/entrada/língua/história/sinal/intenção
mensurar	cronometrar/pesar
mercadoria	importação/estoque/inventário/produto/artigo
mercantilismo	industria/marketing/mercadologia/tráfico/marketing/tráfego/trânsito/pagamento/empresa/negócio/comércio
mesa	balcão/escrivaninha/secretária
meta	alfabetismo/alfabetização/finalidade/intento/propósito/arte/objectivo/objetivo/fim/habilidade/intenção
metais	aluminio/alumínio/cobre/estanho/sodio/sódio/chumbo/cobre/ferro
metal	aluminio/alumínio/cobre/estanho/sodio/sódio/chumbo/cobre/ferro
metodo	metodologia/metodólogia/metodologia/metodologias
metro	báscula/balança/gangorra/régua
mexer	contorcer/enroscar/espernear/torcer-se/manar/virar-se/arremessar/dançar/estalar/fluir/flexionar/pulsar/tornar-se/tropeçar/alongar/impulsionar/esticar/dobrar/girar/pular/sacudir/saltar/tremer/sair/correr/partir/agitar/deixar/virar/separar/bater
microorganismo	vírus
microrganismo	vírus
migração	imigração
militar	veterano
mirar	fitar/vislumbrar/espiar/encarar/contemplar/olhar/ver
miscelanea	seleção
missiva	invitação/convite
mistura	soluto/seleção/solução
miséria	indigência/privação/pobreza
mobiliário	alcatifa/alfaia/aparelhador/cómoda/gaveteiro/movéis/reposteiro/candeeiro/carpete/cortina/cômoda/luminária/mobília/tapeçaria/assento/tapete/estante/mesa/móvel/armário/cadeira
mobília	alcatifa/alfaia/aparelhador/cómoda/gaveteiro/movéis/reposteiro/candeeiro/carpete/cortina/cômoda/luminária/tapeçaria/mobiliário/assento/tapete/estante/mesa/móvel/armário/cadeira
modalidade	controle
modelar	atar
modelo	apoteose
modificar	alargar/ativar/comercializar/desvirar/impactar/aperfeiçoar/endireitar/inverter/acertar/completar/afetar/modelar/investir/causar/formar/manchar/substituir/ajustar/corrigir/melhorar/encher/estender/trocar/reduzir/diminuir
modificação	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/variação/prejuízo/surpresa/queda/diminuição/abatimento/morte/mudança
moeda	cache/cêntimo/numerário/centavo/divisa/peça/capital/prata/dinheiro/fundo
moita	rosa/rosas/rosa
momento	saída/prazo/início/começo/princípio
montanha	vulcão
montanhas	vulcão
monte	vulcão
morada	vivenda/habitação/casa
moradia	vivenda/dormitório/habitação/casa
morador	aldeã/aldeão/ocupante/residente
morais	consciência
moral	bondade/consciência/virtude
moralidade	bondade/consciência/virtude
morar	alojar
morrer	afogar-se/afogar
morte	sacrificio/suicídio/auto-destruição/sacrifício
morto	enchido/defunto/cadáver/corpo
mostrar	evocar/acentuar/pontuar/postar/enfatizar/articular/manifestar/demonstrar/expor/sugerir/formular/expressar/exibir/revelar/apresentar/descobrir/trazer/dizer
motor	motores/máquina
motores	motor/máquina
mover	arredar/contorcer/enroscar/espernear/torcer-se/alçar/botar/manar/virar-se/arremessar/dançar/estalar/fluir/largar/flexionar/entornar/pulsar/tornar-se/tropeçar/verter/alongar/balançar/derramar/elevar/impulsionar/expulsar/puxar/embalar/erguer/esticar/mexer/transportar/dobrar/empurrar/forçar/girar/pular/pôr/sacudir/saltar/soltar/tremer/sair/transmitir/correr/levantar/levar/partir/agitar/colocar/deixar/virar/carregar/tirar/separar/bater
movimento	vacilação/migração/precipitação/regresso/vaga/torção/onda/retorno
movéis	aparelhador/cómoda/gaveteiro/candeeiro/cômoda/luminária/assento/estante/mesa/armário/cadeira
mudança	decréscimo/falecimento/mutação/ascenção/dano/estrago/flutuação/rotação/avaria/mutação/variação/gesto/promoção/troca/prejuízo/transição/surpresa/queda/diminuição/sinal/abatimento/morte
mudar	alargar/amarfanhar/amarrotar/ativar/confromar-se/descontrair/esboroar/esfarelar/fraccionar/fracionar/perecer/prosperar/repartir/ruir/transformar-se/transmutar/adaptar-se/adequar-se/agasalhar/aparelhar/comercializar/despedaçar/desvirar/engravidar/falecer/fender/fracassar/impactar/levantar-se/modernizar/aperfeiçoar/colapsar/desabar/despertar/endireitar/expirar/inverter/conceber/relaxar/acertar/completar/converter/decair/tornar-se/afetar/fundir/modelar/ferver/investir/piorar/causar/formar/manchar/acordar/desmoronar/morrer/substituir/vestir/ajustar/congelar/corrigir/transformar/combinar/acontecer/melhorar/encher/estender/misturar/trocar/reduzir/virar/dividir/quebrar/diminuir/separar
mulher	dona-de-casa/namorada/viúva/dona/esposa/viuvez/menina/senhora/dama/amante/garota/rapariga
mundo	natureza
municipalidade	arraial/burgo/urbe/metrópole/aldeia/cidade/distrito/povoado/vila
município	arraial/burgo/urbe/metrópole/aldeia/cidade/distrito/povoado/vila
munição	bomba
musico	maestro/compositor
mutante	esdrúxulo/monstro
mutantes	esdrúxulo/monstro
mutação	esdrúxulo/monstro
mágoa	desgosto/amargura/tristeza/dor/pesar
máquina	moinhos/calculadora/maquinaria/maquinário/moinho/computador/roda/imprensa
mãe	progenitora/papai/papá/painho/pai
médico	aia/ama-seca/cirurgião/dentista/enfermeira/enfermeiro/enfermeiros/odontólogo/dr./doutor
método	metodologia/metodólogia/metodologia/metodologias
métodos	metodologia/metodólogia/metodologia/metodologias
mídia	chinês/cine/cinema/álbum
móvel	alcatifa/alfaia/aparelhador/cómoda/gaveteiro/movéis/reposteiro/candeeiro/carpete/cortina/cômoda/luminária/mobília/tapeçaria/mobiliário/assento/tapete/estante/mesa/armário/cadeira
música	aria/toada/melodia/harmonia
músico	cantador/cantor/vocalista/maestro/compositor
naipe	bandeira/pendão/bandeira/estandarte/pavilhão
natureza	temperamento/disposição
nação	superpoder/superpotência/aliado
necessidade	ausência/escassez/deficiência/falta/carência
negação	recusa
negociador	representante
negociante	barao/magnata/dono/proprietário
negócio	transportação/turismo/aventura/indústria/manufatura/transporte/expedição
nojo	revulsão/abominação/repulsa/aversão
nome	assinatura/visto/título
nomear	autorizar
norma	ordenamento
notícia	reportagem/estória/relato/artigo
notícias	reportagem/estória/relato/artigo
noção	psique/atitude/mente/cabeça
numerário	troco
nutriente	repasto/refeição/vitamina/bebida/prato
nutrição	repasto/refeição/vitamina/prato
náusea	revulsão/abominação/repulsa/aversão
não-ficção	artigo
nível	alcance
número	acrescentamento/amplidão/menoridade/minorias/preponderância/produtos/recorde/marcador/minoria/prevalência/tamanho/dimensão/medida/deficiência/diferença/proporção/magnitude/carência/grau/produto/variável/extensão/aumento
obedecer	acatar/conformar/seguir
objectivo	finalidade/intento/propósito/objetivo/fim/intenção
objecto	paixão/afeição/amor
objetivo	paixão/afeição/amor
objeto	amuleto/paixão/talismã/chão/filme/locação/relevo/localização/paixão/solo/terra/afeição/amor/ponto/lugar
obra	publicação/edição
obrigar	coagir/compelir/forçar
obrigação	incumbência/serviço
observar	fitar/vislumbrar/espiar/encarar/contemplar/olhar/ver
observação	chacota/xiste/gracejo/piada
obstrução	interferencia/atrapalhação/obstáculo
obstáculo	interferencia/estacada/paliçada/atrapalhação/cerca/barreira/dificuldade/problema
obtenção	récorde/crédito
obter	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/lucrar/recolher/apanhar/comprar/recuperar/coletar/ganhar/capturar/adquirir/encontrar/reunir/atingir/pegar
ociosidade	retardar/atraso/adiar/intervalo/pausa
ocorrente	revés/alteração/incidente/ocorrência/quebra/chegada/instância/maravilha/milagre/modificação/ocasião/variação/coincidência/evento/colapso/acidente/caso/vitória/conclusão/exemplo/resultado/fim/final/problema/mudança
ocorrer	coincidir
ocorrência	revés/alteração/incidente/quebra/chegada/instância/maravilha/milagre/modificação/ocasião/variação/coincidência/evento/colapso/acidente/caso/vitória/conclusão/exemplo/resultado/fim/final/problema/mudança
ocultar	disfarçar/mascarar/encobrir/esconder
ocupação	abastecimento/didáctica/ensinamento/posicionamento/treinamento/treino/protecção/provimento/auxílio/conduta/ensino/ofício/pedagogia/socorro/colocação/fornecimento/ajuda/comportamento/educação/procedimento/processo/profissão/esforço/instrução/liderança/manobra/preparação/proteção/assistência/costume/criação/emprego/função/solo/tentativa/formação/hábito/operação/papel/jogo/serviço/trabalho/lugar
ofensa	infracção/infração
oferecer	legar/doar/distribuir/deixar/entregar/passar/dar
oficina	chácara/estudio/laboratorio/laboratórios/estúdio/granja/quinta/laboratório/sítio/fazenda/trabalho
olhada	olhadela/relance/mirada
olhar	fitar/olhadela/relance/mirada/vislumbrar/espiar/olhada/encarar/contemplar/ver
omitir	disfarçar/mascarar/encobrir/esconder
ontogenia	cultura
ontogénese	cultura
operador	conductor/chofer/condutor/motorista
operar	funcionar
operação	ofensiva/campanha/ataque
operário	balconista/caixeiro
opinião	doutrina/expetativa/projecto/conceito/convicção/religião/filosofia/concepção/expectativa/programação/certeza/idéia/tema/motivo/projeto/fé/preocupação/ideia/intenção/programa/plano
oposição	contraposição/reverso/contraste/oposto/contrário
opção	cabimento/default/possibilidade/padrão
ordem	guilda/matrizes/camarilha/clube/tabela/calendário/matriz/coluna/sociedade/esquema/bicha/plano
ordenar	comandar/convocar/exigir/chamar
organismo	alguém/cruza/criatura/flora/mestiço/animal/besta/bicho/híbrido/indivíduo/planta/alma/vegetal/pessoa/ser
organizar	arrumar/ordenar
organização	guilda/sindicalismo/sindicatos/clube/elenco/sindicato/hierarquia/associação/calendário/chapa/comissão/comité/comitê/estabelecimento/instituição/legenda/partido/delegação/economia/embaixada/missão/sociedade/esquema/instituto/pessoal/união/companhia/plano/rede/ordem
orgulho	brio/pundonor/auto-estima/dignidade/egoísmo
orientador	capataz/supervisor/chefe
orientação	ideologia/perspectiva/visão/posição
orla	beira-mar/costa/litoral
ornamento	laço/banda/motivo/faixa
ornato	laço/ornamento
ortodoxia	convenção
oscilar	gingar/requebrar/balançar/sacudir
osso	caveira/crâneo/crânio/dentes/costela/crânio/mandíbula/dente
ouvir	grampear/interceptar
oval	círculo
pacote	penca/baralho/molho/fardo/feixe
pacto	concessão
pagamento	realeza/crédito/entrada/seguro/sinal
pagar	reintegrar/remunerar/retribuir/debitar/despender/restituir/recompensar/repagar/gastar/compensar
pagodear	paquerar/desacreditar/ridicularizar/sacanear/expor/provocar
pai	progenitora/papai/papá/painho/mãe
painho	papai/papá/pai
palavra	nomenclatura/terminologia/vocábulo/termo
palestrar	pregar
paliçada	sebe/sebes
pano	lanígero/patch/remendo/veludo/lona/seda/toalha/algodão/lã/vela/renda
papai	papá/painho/pai
papel	folhas/cartão/carta/folha
papá	papai/painho/pai
par	casal/dupla
parafernália	kit/conjunto
parar	pausar/interromper
parecer	troçar/recender/reluzir/caçoar/comover/disturbar/doer/emocionar/cheirar/impressionar/cintilar/perturbar
parede	muro
paredes	muro/parede
parente	antecessor/cónjuge/prima/sobrinho/consorte/cônjuge/esposa/esposo/marido/tio/ancestral/antepassado/descendência/primo/companheiro/descendente/filho
parentesco	descendência/linhagem
parreira	batata
parte	hardware/fatia/ingrediente/segmento/adição/módulo/tira/capítulo/peça/seção/introdução/melhoria/componente/conclusão/fragmento/passagem/pedaço
partida	despedida/competição/torneio/corrida/combate/jogo/luta
partido	oposição
partir	divorciar/demitir-se/descasar/quitar/resignar/renunciar/abandonar
partícula	grão
passado	histórico/história
passagem	poço/chaminé
passar	agradecer/coincidir/esfregar/apreciar/correr
passeio	boleia/carona
passivo	desvantagem
pastel	empada/torta
pau	clava/porrete
pausa	descanso/repouso/parada
pavimento	cave/mansarda/porão/trapeira/sótão/ático
paz	consenso/acordo
país	superpoder/superpotência/aliado
peculiaridade	disposição/atividade
pedagogia	ensino/educação
pedagogo	instrutor/docente/mestre/professor
pedaço	fatia/viga/mínimo/tira/trave/porção/fragmento
pedido	facturação/faturação/invitação/convite/consumo/conta/ordem
pedra	brita/cascalho/gravilha/mármore
pegar	abduzir/apreender/raptar/seqüestrar/sequestrar/apanhar/furtar/agarrar/capturar/roubar/prender/segurar
penalidade	punição
penalizar	executar
penalização	punição
pensamento	projecto/conceito/concepção/programação/idéia/tema/motivo/projeto/preocupação/ideia/intenção/programa/plano
pensar	centrar/ruminar/concentrar/manufaturar/associar/cogitar/conectar/fabricar/relacionar/inventar/ponderar/especular/focar/contemplar/planejar/refletir/reter/lembrar
perceber	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver
percepção	tato/sensação/toque
percurso	órbita/trilha
perda	sacrifício
perdoar	desculpar/escusar
perecer	afogar-se/afogar
perfeição	refinamento
perfurar	morder/picar/furar/atravessar
pergunta	indagação/quesito/interrogação/desafio/questão
perguntar	interrogar/questionar
perigo	ameaça
periódico	resenha/revista/série/jornal
permanência	parada
permitir	deferir/sancionar/aturar/licenciar/autorizar/tolerar/aguentar/certificar/aprovar/suportar/admitir/aceitar
perna	coxa/braço/anca
perseguir	caçar/seguir
perseguição	tortura
personalidade	identidade
persuadir	convencer
perturbar	transtornar/preocupar
período	centúria/decênio/década/estio/fim-de-semana/inverno/outono/primavera/sazão/século/séculos/verão/manhã/mês/noitada/semestre/século/velhice/colheita/estágio/semana/continuidade/trimestre/fase/tarde/duração/era/estação/idade/juventude/época/infância/ano/noite/tempo
pesar	terpena/desgosto/amargura/luto/mágoa/remorso/tristeza/dor
pesquisa	busca/procura
pesquisar	experimentar
pessoa	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/identidade/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/personalidade/testemunha/trabalhador/amigo/estudante/representante
pessoal	galera/vulgo/nação/estrato/geração/inimigo/mundo/população/gente/povo/classe
petição	cortejamento/facturação/faturação/galanteio/invitação/namoro/convite/conta/ordem
peça	cêntimo/viga/centavo/trave/pedaço
piedade	afeição
piorar	degenerar/degradar/deteriorar
pipeline	canudo/tubo
piso	cave/mansarda/porão/trapeira/sótão/ático
placa	ladrilho/disco/painel
planejamento	deliberação/cálculo
planejar	engenhar/maquinar/orquestrar/organizar
planos	complô/conspiração
planta	casademoinho/cervejaria/fábrica/manufatura/usina
plantar	produzir/fazer
pobreza	indigência/privação/miséria
poder	influência/jurisdição/meta/técnica/inteligência/força/habilidade/talento
policial	detective/detetive/tira
poliedro	pirâmide
poliedros	pirâmide
polícia	detective/detetive/policial/tira
político	governador/prefeito
ponderar	questionar/perguntar
ponto	regiões/ocidente/selva/flecha/ponteiro/floresta/espaço/região
população	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/gente/pessoal/povo/classe
porrada	murro/soco
porto	cais
porção	fatia/segmento/tira/peça/seção/componente/fragmento/pedaço/parte
posição	catedra/gradação/presidência/direita/esquerda/nível/equilíbrio/proporção/cadeira/posto/formação/grau/segundo/lugar/classe
posse	possessão/propriedade
possessão	património/patrimônio/dinheiro/fazenda/herança/propriedade/bem
possibilidade	oportunidade/potenciabilidade/potencial/teoria/chance
possuir	exibir
posto	catedra/gradação/presidência/nível/cadeira/grau/segundo/classe
potpourri	seleção
povo	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/população/gente/pessoal/classe
povoar	alojar/morar
prata	cêntimo/centavo
prato	salada/sopa/sobremesa/doce
precipitação	nevada/neve/chuva
predicado	feição/peculiaridade/temperamento/personalidade/pessoa
