abadia	monastério/mosteiro/convento
posto	status/hierarquia/condição/estado/classe/posição
postura	atitude
pote	vasilhame/vasilha/vaso
poucos	elite/escol
poupar	isentar/dispensar/liberar
pousada	hotel
povo	população/gente/pessoal
prado	terreno/campo
prados	terreno/campo
prancha	madeira
prata	condutor
prateleira	encosto/apoio/suporte
precedente	instância/exemplo/representante
preceptor	instrutor/docente/mestre/professor
predadores	criatura/animal/besta/bicho/ser
predizer	aventurar/adivinhar/supor/pretender
preferir	avançar/promover
pregação	discurso
prejuízo	alteração/modificação/variação/mudança
preleção	discurso
prender	deter/confinar/agarrar/capturar/segurar/pegar
prensar	tocar/bater
preocupar	disturbar/emocionar/perturbar
preocupação	conceito/idéia/pensamento/opinião
preparar	leccionar/lecionar/ensinar/instruir
preponderância	número
presa	criatura/animal/besta/bicho/ser
presente	dádiva/brinde/dom/doação/aquisição
preservar	cozinhar/preparar
preservação	estado/situação/condição/estado
pressentir	aventurar/adivinhar/supor/pretender
pressionar	tocar/bater
pressupor	antecipar
presságio	mensagem/comunicação
presumir	antecipar
pretendente	alguém/indivíduo/alma/pessoa
pretensão	apetite/anseio/desejo
preterir	eliminar/extinguir
prevalência	número
prever	aventurar/adivinhar/supor/pretender
prima	parente
primavera	sazão/estação/tempo/período
primo	parente
processo	causa
procrastinar	adiar
produto	consequência/conseqüência/soma/efeito/quantidade/resultado/fim/número
produtos	soma/quantidade/número
produção	espectáculo/acção/feito/show/ato/ação/apresentação
profissional	adulto
profissão	ofício/ocupação/emprego/função/serviço/trabalho/lugar
progenitora	genitor/progenitor/pai/mãe
prognosticar	aventurar/adivinhar/supor/pretender
programa	espectáculo/listagem/software/conceito/lista/código/idéia/pensamento/show/informação/opinião
programação	conceito/idéia/pensamento/opinião
proibir	comandar/exigir/ordenar
proibição	acta/decreto
projecto	conceito/idéia/pensamento/opinião
projeto	conceito/idéia/pensamento/opinião
projéctil	armamento/arma
projétil	projéctil/míssil/armamento/arma
prole	criatura/animal/besta/bicho/ser
proletariado	estrato/classe
prolongamento	duração
propaganda	promoção/publicidade/informação/anúncio
proponente	alguém/indivíduo/alma/pessoa
proporção	espaçamento/grandeza/magnitude/número/posição
propriedade	conceito/concepção/idéia/possessão/ideia
proprietário	homemdenegócios/empresário/negociante/comerciante
propósito	meta/alvo/objectivo/intenção
prorrogar	adiar
proscrever	comandar/exigir/ordenar
protelar	adiar
protesto	violência/força
prova	evidência
provocar	agastar/aporrinhar/vexar/concitar/elicitar/chatear/aborrecer/amolar/molestar/importunar/estimular/incitar/perturbar/irritar/incomodar
prática	treinamento/treino/preparação
pré-condição	premissa/pressuposto
prédica	discurso
prédio	edifício/tecido/estrutura
prémio	dádiva/brinde/dom/doação/presente
prêmio	dádiva/brinde/dom/doação/presente
psicologia	ciência
psicólogo	cientista
psique	cognição/noção/conhecimento/compreensão
publicidade	propaganda/promoção/anúncio
pudim	sobremesa/doce
pugnar	brigar/disputar/lutar
pular	deslocar/mover/mexer/viajar/caminhar/ir/andar
pulsar	deslocar/mover/mexer
punho	mão/pata
punição	penalização/penalidade/castigo
pupilo	alguém/indivíduo/alma/pessoa
pário	alguém/indivíduo/alma/pessoa
pátio	terreno/campo
pânico	consternação/temor/terror/medo
pãozinho	pão
pé	encosto/apoio/suporte
pílula	dose
pônei	égua/cavalo
pôr	botar/colocar/carregar
quadrinhos	cartoon/caricatura
qualidade	conceito/atributo/concepção/característica/idéia/grau/propriedade/ideia
quantidade	conceito/concepção/idéia/ideia
quarto	aposento/sala
quebrar	romper/arremessar/atirar/lançar
queda	descenso/fallout/rebaixamento/alteração/descida/modificação/variação/mudança
queimadura	traumatismo/dano/machucado/lesão/mal
queimar	doer
queixo	traço
questionar	ruminar/cogitar/ponderar/especular/contemplar/refletir
questionário	formulário
questão	precariedade/incerteza
quinta	laboratório/oficina/emprego/trabalho
quintal	terreno/campo
quota	alocação/atribuição
química	materiais
racismo	pré-conceito/viés/preconceito
radical	alguém/indivíduo/alma/pessoa
raiva	abalo/zanga/comoção/ira/cólera/emoção/sentimento
ramal	telefone
ramerrão	procedimento/processo
ramo	caule/tronco
rancho	chácara/granja/quinta/sítio/fazenda
rapariga	mulher
rascunho	texto
rastejar	viajar/caminhar/ir/andar
rastejar-se	viajar/caminhar/ir/andar
razão	explanação/explicação
re-adquirir	comprar/obter/adquirir/receber
reactor	aparato/aparelho/equipamento
reactores	aparato/aparelho/equipamento
realçe	elemento/componente
rebordo	aresta
receber	divertir/entreter
recebimento	saudação
receio	incerteza/dúvida
recepção	saudação/festa
recessão	crise
reclame	propaganda/promoção/publicidade/anúncio
reclamo	propaganda/promoção/publicidade/anúncio
recolher	comprar/obter/adquirir/receber
recomendação	loa/louvor/glória/elogio
recomendações	loa/louvor/glória/elogio
recompensar	pagar
reconhecer	recordar-se/lembrar-se/licenciar/autorizar/recordar/certificar/lembrar
reconquistar	comprar/obter/adquirir/receber
recorte	excerto/extrato/trecho/passagem
recuar	viajar/caminhar/ir/andar
recuperar	comprar/obter/adquirir/receber
recuperação	acção/feito/ato/ação
recurso	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/vantagem/apelo/virtude/propriedade/bem
recém-nascido	criança/filho/menino
rede	sistema/organização
reduzir	modificar/alterar/mudar/diminuir
referência	apontamento/anotação/publicação/edição/nota
refinar	aperfeiçoar/melhorar
refletir	raciocinar/cogitar/pensar
reflexão	ideia
reformar	aperfeiçoar/melhorar
reforçar	leccionar/lecionar/ensinar/instruir
refém	cativo/preso/prisioneiro
reganhar	comprar/obter/adquirir/receber
regaço	coxa/anca
reger	governar
registar	recrutar/inscrever/registrar
registrar	recrutar/inscrever/registar
região	locação/localização/ponto/lugar
regiões	locação/localização/ponto/lugar
regra	conceito/concepção/idéia/procedimento/processo/ideia
regressar	viajar/caminhar/ir/andar
regulamento	conceito/concepção/idéia/ideia
regular	acertar/ajustar/corrigir
rei	monarca/suserano/soberano
reinado	continuidade/duração/era/idade/época/período
reinar	governar/reger
reino	monarquia/era/idade/época/período
reintegrar	pagar
rejeição	acção/feito/ato/ação
relacionar	raciocinar/cogitar/refletir/pensar
relato	documentação/notícia/documento/notícias/artigo
relatório	ensaios/documentação/documento/ensaio
relevo	objeto
religião	convicção/crença/fé/opinião
reluzir	parecer
relva	terreno/campo
remarcar	contar/falar/dizer
remunerar	pagar
remédio	entorpecente/droga/medicamento
renda	têxteis/pano/tecido/fazenda
renome	bisbilhotice/bisbolhetice/honra/fofoca
renovação	melhora/melhoria
rentabilizar	auferir/ganhar
renúncia	documentação/documento
repagar	pagar
reparar	aperfeiçoar/contar/melhorar/falar/dizer
repetir	reproduzir
replicar	reproduzir/contar/falar/dizer
replicação	cópia/reprodução
reportagem	notícia/notícias/artigo
reporte	documentação/documento
repouso	interrupção/suspensão/pausa
repreensão	assessoramento/conselho/recomendação
representante	alguém/proponente/indivíduo/defensor/advogado/alma/agente/pessoa
representar	desempenhar/apresentar/fazer
reproduzir	produzir/construir/criar/fazer
reprodução	cópia
repto	situação/condição
requerer	demandar/exigir
reservar	solicitar/requisitar/requerer/pedir
reservatório	lago
residente	habitante/morador
residência	endereço/alojamento/abrigo/casa
resignação	desespero
resolver	comprender/compreender/entender
resort	hotel
respirar	pausar/interromper/parar
responder	contar/falar/dizer
responsável	líder/chefe
ressentir	antipatizar/desgostar
restante	categoria/porção/componente/parte
restaurante	prédio/edifício
restauração	melhora/melhoria
restituir	pagar
resto	categoria/porção/componente/parte
restringir	limitar/conter
restrição	regulamento/norma/lei/regra/limitação
resultado	fenómeno/fenômeno/chegada/conclusão/fim/final
resumir	reduzir/diminuir
resumo	sumário
resvalar	escorregar/deslizar
resíduo	materiais/lixo/categoria/porção/componente/parte
resíduos	lixo/resíduo
retalhista	mercador/negociante/comerciante
reter	ter
retirar-se	viajar/caminhar/ir/andar
retornar	transportar/viajar/caminhar/trazer/levar/tirar/ir/andar
retorno	resposta/resultado
retribuir	pagar
retroceder	viajar/caminhar/ir/andar
retrucar	contar/falar/dizer
reunir	comprar/obter/adquirir/receber
reunião	assembléia
revisão	prática/exercício/manutenção
revólver	armamento/arma
revóvel	armamento/arma
ribeira	declive/declives/subida/encosta/costa/ladeira
ringue	palanque/tablado/tribuna
rio	córrego/corrente
rixa	recontro/confronto/conflito
robô	mecanismo
rojão	viatura/veículo
rolar	virar-se/tornar-se/virar
rolo	cilindro
romance	ficcionismo/ficção/literatura
roque	edifício/tecido/estrutura
rosa	arvoreta/arbusto/mato/moita
rosas	arvoreta/arbusto/mato/moita
rosto	semblante/aspecto/aparência
rotação	mudança
roteiro	premissa/pressuposto
rotina	procedimento/processo
roubalheira	furto/roubo
roubar	ultrapassar/derrotar/vencer/agarrar/capturar/superar/segurar/pegar/bater
roubo	furto
roça	chácara/granja/quinta/sítio/fazenda/campo
roçar	esfregar
rugir	emitir/soltar
ruminar	raciocinar/cogitar/refletir/pensar
rumor	bisbilhotice/bisbolhetice/fofoca
ruína	prédio/edifício
râguebi	futebol
réplica	cópia/reprodução
rúgbi	futebol
saber	aperceber/aperceber-se/perceber/entender
saborear	aperceber/aperceber-se/perceber/entender
sacada	edifício/tecido/estrutura
sacanear	ultrapassar/derrotar/vencer/superar/bater
sacrifício	perda
sacudir	deslocar/mover/mexer
saguão	aposento/quarto/sala
sair	deslocar/mover/mexer
sala	aposento/quarto
salada	prato
salsicha	enchidos/lingüiça/vianda/carne
saltar	deslocar/mover/mexer/viajar/caminhar/ir/andar
salvaguardar	proteger/defender
salvar	proteger/defender
salvação	segurança
salão	prédio/edifício
sandália	sapato/calçado
satélite	equipamento/ferramenta
satélites	equipamento/ferramenta
sazão	etapa/tempo/período
saúde	eudemonismo/bem-estar/estado/situação/condição/estado
sebe	estacada/paliçada/cerca/barreira
sebenta	livro
sebes	estacada/paliçada/cerca/barreira
secretária	criado/ajudante/assistente/servidor
secretário	criado/ajudante/assistente/servidor
sector	faceta
seda	têxteis/pano/tecido/fazenda
sede	escritório
sedimento	matéria/substância
segredo	informação
seguir	obedecer/viajar/caminhar/ir/andar
segundo	hierarquia/posto/classe/posição
segurança	estado/situação/condição/estado
segurar	solicitar/proteger/requisitar/requerer/agarrar/capturar/defender/pedir/ter/pegar
seguro	abrigo/proteção
seguros	abrigo/proteção
selar	cerrar/fechar
seleccionar	resolver/decidir
selecionar	seleccionar/resolver/decidir/escolher
selo	simbolo/símbolos/aceno/emblema/símbolo/sinal
selodocorreio	símbolo/selo
selos	símbolo/selo
selva	chão/locação/relevo/localização/solo/terra/ponto/lugar
semana	etapa/tempo/período
semear	botar/pôr/colocar/carregar
semente	fruto/fruta
seminário	aula/curso
senhor	homem
senhora	mulher
sensação	excitamento/percepção/excitação/percepção
sentido	significância/significação/significado/intenção
sentir	aperceber/aperceber-se/perceber/entender
separar	deslocar/mover/mexer
sepultamento	funeral/enterro/funeral
sepultura	funeral/enterro/funeral/área/região
sermão	discurso
serpear	viajar/caminhar/ir/andar
servidor	funcionário/serventuário/trabalhador
servir	acorrer/socorrer/assistir/auxiliar/ajudar
serviço	auxílio/socorro/ajuda/dever/assistência/obrigação
sessão	encontro/reunião
seta	projéctil/míssil/projétil
setor	faceta
significado	significância/significação/intenção
significação	significância/significado/intenção
signo	indício/sugestão/pista
silenciar	consolar/reconfortar/confortar/acalmar/aliviar
simbolo	sinal
simpatia	tendência
simular	reproduzir
sinal	mensagem/comunicação/mudança
sindicalismo	organização
sindicato	organização
sindicatos	organização
sinopse	sumário/resumo
sintoma	evidência
sintonizar	acertar/ajustar/corrigir
site	calculadora/computador
soberba	satisfação
sobra	categoria/porção/componente/parte
sobrancelha	cabelo
sobrepujar	ultrapassar/derrotar/vencer/superar/bater
sobrevivente	alguém/indivíduo/alma/pessoa
sobrolho	cabelo
sociedade	associação/contrato/união/organização/acordo/ordem
soco	porrada/golpe
sodio	metal/metais
software	código
sofá	assento/cadeira
solicitante	alguém/indivíduo/alma/pessoa
solicitação	abaixo-assinado/postulação/requerimento/requisição/petição/apelo
solo	objeto
solucionar	comprender/compreender/entender
soluçar	bafejar/espirar/respirar
soma	conceito/concepção/idéia/ideia
somar	enumerar/contar
sonho	imaginação
sopa	prato
sorte	fenómeno/fenômeno
sorver	beber/tomar
spillover	incidente/evento
subir	ascender/viajar/caminhar/ir/andar
subscrever	redigir/escrever
subscritor	freguês/cliente/comprador/consumidor
substituir	modificar/alterar/mudar
substituto	agente
substância	materiais/categoria/matéria/porção/componente/parte
subtítulo	título
sudorese	secreção
suma	colecção/coleção/aglomeração/acúmulo
sumário	resumo
suor	secreção
superar	ultrapassar/derrotar/vencer/bater
supercílio	cabelo
superior	face/lado
superioridade	estado/situação/condição/estado
supermarket	empório/mercado/mercadinho/quitanda/sacolão/supermercado/feira/mercado
supermercado	empório/mercado/mercadinho/quitanda/sacolão/feira/mercado
supermercados	empório/mercado/mercadinho/quitanda/sacolão/supermercado/feira/mercado
superpoder	país/república/nação
superpotência	país/república/nação
supervisor	orientador
supor	antecipar
suportar	consentir/permitir/deixar
suporte	encosto/apoio/auxílio/socorro/ajuda/assistência
suposição	conceito/concepção/idéia/opinião/ideia
supremacia	ascendencia/dominancia/superioridade/controle/domínio
suprir	prover/abastecer/fornecer
surpresa	alteração/modificação/variação/mudança
suspeito	alguém/indivíduo/alma/pessoa
suspirar	bafejar/ansiar/espirar/respirar/querer/desejar
suíte	apartamento
século	etapa/tempo/período
séculos	etapa/tempo/período
símbolo	simbolo/símbolos/aceno/emblema/sinal
símbolos	sinal
síndroma	sintoma
síndrome	sintoma
sítio	calculadora/computador/laboratório/oficina/emprego/trabalho
sócio	alguém/indivíduo/alma/pessoa
sódio	metal/metais
sósia	alguém/indivíduo/alma/pessoa
sótão	pavimento/piso/andar
t-shirt	camisa
talento	inteligência
talismã	objeto
tamanho	grandeza/magnitude/número
tamborete	assento/cadeira
tarde	etapa/tempo/período
tarefa	projeto
tato	percepção
taxi	auto/automóvel/viatura/carro/veículo
teatro	palanque/tablado/tribuna
tecnologia	disciplina/campo/domínio
telefone	sinal
telejornais	emissão/programa
telespectador	espectador/observador
tema	aria/toada/conceito/melodia/idéia/pensamento/opinião
temor	abalo/comoção/emoção/sentimento
tempo	etapa/clima/período
tendência	atitude
tensão	estado/inimizade/hostilidade/situação/condição/estado
teologia	disciplina/campo/domínio
teor	volume
teoria	conceito/concepção/possibilidade/idéia/suposição/hipótese/opinião/ideia
teorizar	antecipar
ter	abarcar/incluir/conter
terapeuta	especialista
terapia	medicamento/remédio
terminologia	verbo/vocábulo/termo/palavra
termo	verbo/vocábulo/palavra
terra	objeto
terras	chácara/granja/quinta/sítio/fazenda
terrificar	atemorizar/amedrontar/assustar/aterrorizar/intimidar
território	regiões/região
terror	abalo/comoção/consternação/emoção/sentimento/temor/medo
terrorista	radical
tesouro	colecção/coleção/aglomeração/acúmulo
testa	traço
testemunha	alguém/indivíduo/alma/pessoa
texto	livro
thread	materiais
tigela	vasilhame/vasilha/vaso
tina	vasilhame/vasilha/vaso
tinta	camada/capa
tira	policial/polícia/agente/guarda
tirar	transportar/levar/carregar
tiritar	sacudir/tremer/agitar
toada	música
tocar	desempenhar/apresentar/fazer
tocha	luz
tolerar	consentir/permitir/deixar
tolher	impossibilitar/obstar/estorvar/impedir/proibir/bloquear/evitar
tom	ambiência/fala/ar/atmosfera
tonel	vasilhame/vasilha/vaso
topo	face/lado/área/região
toque	percepção
tora	madeira
torcer-se	deslocar/mover/mexer
tormento	dor/angústia/dor
tornar-se	transmutar/deslocar/mover/mexer/transformar/mudar
torneio	certame/concurso/competição/partida/jogo
torrada	pão
torre	edifício/tecido/estrutura
torres	edifício/tecido/estrutura
tortura	dor/angústia/dor
toste	pão
trabalhador	alguém/indivíduo/alma/pessoa
trabalho	laboratório/oficina/ofício/profissão/ocupação/emprego/função/serviço/lugar
tradição	tradições/costumes/costume/hábito
trair	desinformar/enganar
trancar	fixar/prender
tranquilizar	consolar/reconfortar/confortar/acalmar/aliviar
tranqüilizar	consolar/reconfortar/confortar/acalmar/aliviar
transacção	transação
transformar	transmutar/mudar
transformar-se	transmutar/transformar/mudar
transito	colecção/coleção/aglomeração/acúmulo
transmissão	engrenagem/mensagem/marcha
transpiração	secreção
transportar	levar/carregar
transportação	industria/empresa/negócio/comércio
transporte	industria/empresa/negócio/comércio
transtornar	disturbar/emocionar/perturbar
trapacear	ultrapassar/derrotar/vencer/superar/bater
trapeira	pavimento/piso/andar
traspassar	entrar
tratamento	gestão/administração
trave	peça/pedaço
travesseiro	almofada
trazer	produzir/transportar/construir/criar/levar/carregar/fazer
trecho	passagem
treinador	líder/chefe
treinar	leccionar/lecionar/ensinar/instruir
tremer	deslocar/mover/mexer/sacudir/agitar
tremonha	sargeta
tremular	sacudir/tremer/agitar
trepar	ascender/subir
trevas	ambiência/ar/atmosfera
trilha	itinerário/itinerários/percurso/rota/evidência/linha/estrada/caminho
trimestre	etapa/tempo/período
troca	conversação/conversa
trocar	modificar/alterar/mudar
troco	cache/numerário/dinheiro
tronco	madeira
tropeçar	deslocar/mover/mexer
troçar	comportar-se/agir/atuar/parecer
truque	desempenho/performance/interpretação/apresentação
tráfego	colecção/comercialismo/mercantilismo/coleção/aglomeração/comércio/acúmulo
tráfico	comercialismo/mercantilismo/comércio
tránsito	colecção/coleção/aglomeração/acúmulo
trânsito	colecção/comercialismo/mercantilismo/coleção/aglomeração/comércio/acúmulo
tumba	área/região
tumor	tumores
tumores	enfermidade/doença
tumulto	violência/força
turismo	industria/empresa/negócio/comércio
tutor	instrutor/docente/mestre/professor
tábua	madeira
táxi	auto/automóvel/viatura/carro/veículo
técnico	líder/chefe
têmpora	traço
túmulo	área/região
ufania	satisfação
uivar	emitir/soltar
ultrapassar	derrotar/vencer/superar/bater
umapósooutro	fila/bicha/linha
união	organização
urrar	emitir/soltar
usina	fábrica/planta
usuário	alguém/indivíduo/alma/pessoa
utente	alguém/indivíduo/alma/pessoa
utilizador	alguém/indivíduo/alma/pessoa
vaca	vacas/bovinos/gado
vacância	espaço
vadiar	viajar/caminhar/ir/andar
vaga	espaço
vagabundear	viajar/caminhar/ir/andar
vagar	viajar/caminhar/ir/andar
vaguear	viajar/caminhar/ir/andar
vale	depressão
validar	revalidar/corroborar/substanciar/confirmar/sustentar/provar/suportar
van	camiões/caminhão/camião/camiões
vangloriar	exagerar/aumentar
vangloriar-se	exagerar/aumentar
varanda	edifício/tecido/estrutura
varejista	mercador/negociante/comerciante
vareta	simbolo/símbolos/aceno/emblema/símbolo/sinal
variação	alteração/modificação/mudança
variável	soma/quantidade/número
varrer	enxugar/esfregar/limpar
varão	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro
vasilha	vasilhame/vaso
vazio	espaço
vector	variável
vectores	variável
vedar	cerrar/fechar/comandar/exigir/ordenar
vegetal	hortifruti/hortifruto
vegetação	colecção/flora/coleção/aglomeração/acúmulo
veludo	têxteis/pano/tecido/fazenda
venda	shopping
vendedor	mercador/negociante/comerciante
ventilar	sacudir/tremer/agitar
vento	clima/tempo
ver	aperceber/aperceber-se/perceber/entender
verdura	hortifruti/hortifruto
verificação	confirmação/prova
verter	manar/fluir/correr
verão	sazão/estação/tempo/período
vestíbulo	aposento/quarto/sala
vetar	comandar/exigir/ordenar
vetor	variável
video	gravação
viga	peça/pedaço
vigor	violência/força
vinho	álcoois/álcool
violentar	agredir/assaltar/atacar
violência	agressão/hostilidade
virar	transmutar/virar-se/deslocar/mover/tornar-se/mexer/transformar/mudar
virar-se	deslocar/mover/mexer
virtude	bondade
virtudes	bondade/virtude
visar	redigir/escrever
visita	encontro/reunião
visitante	visita
visitar	viajar
vislumbre	vista/panorama
visto	antenome/prenome/nome
visão	imaginação
vitória	chegada/conclusão/resultado/fim/final
viuvez	mulher
viveiro	prédio/edifício
vivenda	morada/aposento/moradia/prédio/domicílio/residência/edifício/habitação/lar/casa
vizinho	alguém/indivíduo/alma/pessoa
viúva	mulher
voar	viajar/caminhar/ir/andar
vocalizar	contar/falar/dizer
vocação	ofício/profissão/ocupação/emprego/função/serviço/trabalho/lugar
vocábulo	verbo/termo/palavra
voltar	transportar/trazer/levar/tirar
voluntário	trabalhador
votante	cidadã/cidadão
votar	seleccionar/selecionar/escolher
vulcão	montanhas/montanha/monte
vulgo	população/gente/pessoal/povo
vácuo	espaço
vídeo	gravação
vídeos	gravação
website	calculadora/computador
xerocar	reproduzir
xiste	comentário/observação
zanga	abalo/comoção/emoção/sentimento
zefir	vento
zelo	ardor/paixão
zona	área/região
zéfiro	vento
ágape	repasto/refeição
água	líquido
álbum	livros/livro
álbuns	livros/livro
álcoois	bebida
álcool	bebida
ático	pavimento/piso/andar
átomo	substância
átrio	aposento/quarto/sala
ângulo	espaço
ângulos	espaço
época	etapa/século/era/idade/tempo/período
ética	filosofia
êxtase	espírito/humor
íncubo	sonho
índex	dedo
índice	listagem/lista
órbita	itinerário/itinerários/percurso/rota/linha/estrada/caminho
