abanar	soprar
importunar	assediar/aborrecer/molestar/irritar/provocar/incomodar/enfadar/inimizar/tormentar/antagonizar/retalhar/aborrecer/atormentar/corroer/crucificar/magoar/irritar/incomodar
impossibilitar	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/demover/sustar/desconcertar/travar/evitar/parar
imprimir	italizar
impulsionar	dardejar
incendiar	ignitar/conflagrar/flamejar/fumar/reacender/clarear/acender
incentivar	patrocinar/suportar
inchar	afofar/empolar/intumescer/distender
incitar	magoar/ofender/provocar/infatuar/desencaminhar/encolerizar/engodar/irar/zangar/apaixonar/comover/envergonhar/inflamar/interessar/alfinetar/desconcertar/enraivecer/reacender/emocionar/seduzir/acender/estimular/atrair/perturbar/animar/confundir/excitar/superar/pedir/levantar/tocar
inclinar	declivar/genuflexar/ajoelhar/cortejar/reclinar
incluir	abranger/compreender/conter/ter/circundar/englobar/subsumir/abarcar/acarretar/involver/subordinar/classificar/reter/compreender/conter
incomodar	assediar/aborrecer/molestar/importunar/irritar/provocar/enfadar/inimizar/tormentar/antagonizar/retalhar/aborrecer/atormentar/corroer/crucificar/magoar/importunar/irritar
indagar	bisbilhotar/xeretar/fofocar/consultar
indicar	assinalar/reverberar/apontar/refletir
indiciar	tributar/queixar/taxar/reclamar
indispor-se	porfiar
inflar	afofar/empolar/intumescer/distender/inchar
ingurgitar	devorar
iniciar	inaugurar/introduzir/recomeçar/começar
injetar	tomar
injuriar	vilipendiar/vituperar/denegrir/insultar
inocentar	purgar/vindicar/acobertar
inscrever	registar/registrar/matricular/sindicalizar/ingressar/alistar
insistir	reinvindicar/asseverar/sustentar/manter
instalar	reinstalar/empossar/investir
instruir	reforçar/educar/preparar/treinar/palestrar/desfraldar/edificar/indoutrinar/retreinar/desaprender/catequizar/clarificar/esclarecer/educar/introduzir/treinar/iniciar/falar
insultar	vilipendiar/vituperar/denegrir
intensificar	redobrar
interceptar	grampear
interromper	espirar/respirar
intimidar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/assustar/impressionar
intrigar	capturar/prender
introduzir	reintroduzir/insinuar/imigrar/apresentar
invadir	craquear
inventar	mitologizar/mitificar/confabular
ir	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/andar/subir/passar/cair/apressar-se/baldear/bicicletar/coxear/deambular/descarrilar/despachar-se/esgueirar/esquiar/ganir/joeirar/mancar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pedalar/ziguezaguear/peneirar/pisotear/retrogradar/rondar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/caminhar/continuar/trocar/seguir/virar/andar/subir/passar/cair
irritar	assediar/aborrecer/molestar/importunar/provocar/incomodar/enfadar/inimizar/tormentar/antagonizar/retalhar/aborrecer/atormentar/corroer/crucificar/magoar/importunar/incomodar
isentar	poupar/desregulamentar/desregular/escusar/dispensar
jogar	arremessar/arremeter/brincar/atirar/lançar/curvetear/defenestrar/escamotear/garotar/prestidigitar/traquinar/zuar/alijar/prostrar/volear/bagunçar/completar/apanhar/apostar/capturar/anunciar/pular/sacudir/atirar/lançar/passar
juntar	interligar/acoplar/interconectar/anexar/unir/ligar
justificar	paliar/pleitar/atenuar/mitigar/remediar
lamentar	embirrar/deplorar/pentelhar/ralhar/lastimar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/reclamar/gritar/incomodar
lançar	arremessar/arremeter/atirar/jogar/quebrar/defenestrar/escamotear/prestidigitar/alijar/prostrar/pular/sacudir/atirar/jogar/passar
lastimar	embirrar/deplorar/pentelhar/ralhar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/reclamar/lamentar/gritar/incomodar
lavar	bochechar/gargarejar/enxaguar/esfregar/bater
lavar-se	bochechar/gargarejar/enxaguar/esfregar
leccionar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
lecionar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
legar	lembrar-se/lembrar
lembrar	reconhecer/rever/conhecer
lembrar-se	reconhecer/rever/conhecer
ler	anagramar/anagramatizar/reler/decifrar
lesar	aferroar/apunhalar/esfaquear/ferir/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
lesionar	aferroar/apunhalar/esfaquear/lesar/ferir/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
levantar	bombear/hastear/içar/alçar/levitar/enfileirar/erguer/aumentar
levar	devolver/voltar/retornar/transportar/trazer/carregar/tirar/aerotransportar/arcar/desembarcar/transportar/transmitir/trazer/carregar/conduzir
liberar	poupar/desregulamentar/desregular/isentar/desencadear/escusar/dispensar/soltar
libertar	desencadear/soltar
licenciar	credenciar/reconhecer/franquiar/privilegiar
lidar	gerenciar/aguentar/discorrer/teologizar/improvisar/discursar/discutir/sobreviver/corresponder/satisfazer/falar
liderar	capitanear
ligar	interligar/acoplar/interconectar/anexar/juntar/unir
limitar	constrangir/restringir/conter/delimitar/domar/estorvar/inibir/obstruir/impedir/reprimir/suprimir/marcar/regular/restringir/controlar/prender/ligar/reduzir
limpar	escovar/varrer/bochechar/gargarejar/enxaguar/enxugar/esfregar
listar	inventoriar/indexar
localizar	basear/adquirir
lucrar	capitalizar
lustrar	aculturar/civilizar/escolar/alisar/educar/polir/cultivar/treinar
lutar	pugnar/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/digladiar/assaltar/batalhar/brigar/defender/atacar/resistir/conduzir
luxuriar	saciar
luzir	coruscar/opalescer/resplandecer/lucilar/cintilar
machucar	aferroar/apunhalar/esfaquear/lesar/ferir/danificar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/torcer/atirar/quebrar
magoar	dilacerar/humilhar/descompor/lacerar/mortificar/alfinetar/aviltar/ofender/insultar/rebaixar/machucar
malograr	perder/borrar/ferrar/arruinar/falhar/cair
manar	entornar/verter/derramar/segregar/escoar/redemoinhar/fluir/jorrar/circular/girar/correr
mandar	registrar
manifestar	esclarecer
manifestar-se	piquetar
manter	armazenar/acumular/negar/guardar/armazenar/deter/deduzir/poupar/preservar/conservar/reter/guardar/segurar
manufaturar	mitologizar/mitificar/confabular
maquinar	conchavar/conjurar/intrigar/compactuar/conspirar
marrar	memorizar/decorar
mascar	roer/morder
mascarar	camuflar/dissimular/disfarçar/esconder
mastigar	roer/mascar/morder
matar	decapitar/degolar/executar/apedrejar/chacinar/empalar/empeçonhar/lapidar/linchar/suicidar/suicidar-se/trucidar/aniquilar/balear/devastar/dizimar/electrocutar/eletrocutar/exterminar/fazerdormir/massacrar/sacrificar/abater/intoxicar/vaporizar/assassinar/erradicar/afogar/asfixiar/liquidar/despachar/estrangular/neutralizar/sufocar/eliminar/envenenar/extinguir/suprimir/executar
medir	enaltecer/reavaliar/elogiar/estandardizar/padronizar/valorizar/louvar/censurar/avaliar/corrigir
melhorar	aprimorar/reparar/emendar/lustrar/consertar/polir/refinar/reformar/embonecar/perfazer/atenuar/empetecar/amenizar/aperfeiçoar/apurar/emendar/enriquecer/destilar/embelezar/socorrer/educar/frutificar/sublimar/purificar/reformar/regenerar/acordar/resolver/ajudar/aliviar/construir/desenvolver/levantar
memorizar	alternar
mencionar	invocar/desenterrar/comentar/citar/referir/lembrar/apresentar/indicar/levantar
mendigar	esmolar
menosprezar	debochar/desabonar/desprestigiar/desdenhar/desacreditar/esnobar
mensurar	cronometrar/pesar/titular/pesar/andar
mentir	perjurar
mexer	contorcer/enroscar/espernear/torcer-se/manar/virar-se/arremessar/dançar/estalar/fluir/flexionar/pulsar/tornar-se/tropeçar/alongar/impulsionar/esticar/dobrar/girar/pular/sacudir/saltar/tremer/sair/correr/partir/agitar/deixar/virar/separar/bater/escorrer/jogar-se/movimentar/mutuar/pinotear/ribombar/surpreender-se/unir-se/vassourar/abalar/bailar/chafurdar/oscilar/reciprocar/trovoar/dançar/dirigir-se/fluir/gravitar/ondular/riscar/acenar/recuar/vibrar/clicar/pulsar/tropeçar/varrer/encostar/voar/assumir/montar/rolar/escalar/acordar/atravessar/pular/saltar/tremer/desaparecer/correr/agitar/virar/subir/bater
minguar	encolher/amainar/definhar/contrair-se/murchar/abater/amenizar/decrescer/desacelerar/encolher/enrugar/declinar/contrair/desvalorizar/enfraquecer/baixar/desaparecer/reduzir/diminuir
minimizar	banalizar/trivializar
misturar	reembaralhar/aliar/sincretizar/acrescentar/cortar
modelar	atar/plasmar/achatar/amoldar/individualizar/retorcer/aplainar/arredondar/esculpir/cristalizar/distorcer/moldar/remodelar/deformar/enxugar/forjar/fundir/acomodar/reformar/circular/torcer/transformar/enrolar/cortar
modificar	alargar/ativar/comercializar/desvirar/impactar/aperfeiçoar/endireitar/inverter/acertar/completar/afetar/modelar/investir/causar/formar/manchar/substituir/ajustar/corrigir/melhorar/encher/estender/trocar/reduzir/diminuir/abrandar/acostumar-se/acromatizar/adequar/adiantar/agudizar/amalgamar/amaneirar/animizar/aprontar/arrendondar/arterializar/assear/automatar/avelhentar/averbar/avianizar/avolumar/bestializar/centralizar/cevar/circularizar/colorizar/convencionalizar/demonizar/demulsificar/deodorizar/depravar/desabilitar/desactivar/desafinar/desamolar/desantificar/desarmonizar/descentralizar/desconcentrar/desenfatizar/desensitivizar/desinflar/desmitificar/desordenar/despersonalizar/despolarizar/dessensibilizar/diabolizar/efeminar/endemoninhar/enfeiar/engrossar/erotizar/estatizar/eterealizar/evaziar/externar/femininizar/fortalecer/glamorizar/habilitar/habituar/habituar-se/hidrogenar/humanizar/imaterializar/inabilitar/indispor/inseminar/intransitivizar/madurar/magnetizar/nazificar/objectificar/obnubilar/ocidentalizar/oportunizar/orientalizar/ornar/paganizar/perverter/politizar/radicalizar/rarificar/restorar/sanear/satanizar/sexualizar/simetrizar/simplificar/tenderizar/tontear/transitivizar/transubstanciar/uniformizar/verbificar/volatizar/acetilar/acostumar/activar/adaptar/afectar/afrancesar/afrouxar/agravar/alcalinizar/alegorizar/alhear/americanizar/ampliar/atear/automatizar/avariar/barbarizar/bolhar/civilizar/complicar/comunizar/corromper/decimalizar/democratizar/desamarrar/desativar/desembaralhar/desestabilizar/desmagnetizar/desnaturalizar/desobstruir/desqualificar/digitalizar/dinamizar/dissonar/embaçar/empetecar/emprestar/emulsionar/energizar/engordar/equiparar/espessar/estabilizar/estranhar/eternizar/europeizar/exacerbar/externalizar/fecundar/fertilizar/imortalizar/inativar/incapacitar/internacionalizar/islamizar/isomerizar/liberalizar/liquidificar/masculinizar/militarizar/mitologizar/nacionalizar/normalizar/objetivar/obscurecer/oficializar/ofuscar/opalescer/opalizar/ossificar/oxidar/personalizar/plastificar/privatizar/prostrar/redigir/sanitizar/saponificar/saturar/sensibilizar/sensitivizar/suburbanizar/sutilizar/transfigurar/transmudar/vascularizar/viciar/vitalizar/vitrificar/vivificar/alcoolizar/alumiar/amaciar/amadurecer/amansar/arredondar/brutalizar/cegar/chorar/coagular/comedir/concentrar/conformar/constitucionalizar/descolorir/desintegrar/despertar/desvirtuar/diversificar/domar/domesticar/dopar/emagrecer/encerrar/enfeitar/envelhecer/escurecer/esfriar/esquematizar/estreitar/gelatinizar/industrializar/ionizar/lubrificar/macular/mecanizar/mitificar/ornamentar/padronizar/polarizar/possibilitar/pressurizar/purgar/recombinar/reconstruir/refrigerar/resfriar/restabelecer/restaurar/retardar/revolucionar/romantizar/santificar/secar/sentimentalizar/subverter/tensionar/territorializar/turvar/urbanizar/vulgarizar/amolar/assimilar/bagunçar/calcificar/calibrar/castigar/clarificar/coalhar/consertar/contaminar/contribuir/desacelerar/editar/embelezar/enlamear/enrijecer/especializar/fortificar/gelar/invalidar/molhar/oxigenar/progredir/rachar/refazer/socializar/sujar/visualizar/aerar/alienar/alterar/amortecer/aviltar/condensar/converter/danificar/debilitar/embaralhar/esquentar/esvaziar/glorificar/intensificar/mover/naturalizar/refrescar/remodelar/suavizar/sublimar/traduzir/unificar/validar/acelerar/afetar/afiar/aquecer/atrasar/balançar/colorir/compatibilizar/deformar/desvalorizar/disciplinar/elevar/enxugar/expandir/igualar/neutralizar/purificar/racionalizar/refinar/sincronizar/apertar/apressar/clarear/endurecer/envenenar/ferver/irradiar/isolar/moderar/piorar/reformar/retificar/adornar/causar/compensar/decorar/enfraquecer/manchar/marcar/produzir/regenerar/suspender/acordar/baixar/finalizar/mexer/preparar/transportar/adicionar/ajustar/atrair/capturar/corrigir/revelar/temperar/transformar/animar/apagar/derrubar/sacudir/concluir/confundir/esconder/excitar/encher/estender/trazer/unir/misturar/terminar/trocar/levar/provocar/colocar/deixar/limpar/reduzir/virar/carregar/conduzir/mudar/quebrar/tocar/diminuir/cair/aumentar/fazer
moldar	plasmar/amoldar/esculpir/remodelar/forjar/fundir/modelar/reformar/transformar/cortar
molestar	assediar/aborrecer/importunar/irritar/provocar/incomodar/enfadar/inimizar/tormentar/antagonizar/retalhar/aborrecer/atormentar/corroer/crucificar/magoar/importunar/irritar/incomodar
montar	escalar/subir
morder	roer/trincar/mordiscar
mordiscar	roer/trincar/morder
morrer	afogar-se/afogar/tombar/sucumbir/asfixiar/estrangular/sufocar/cair
mostrar	empavonar/pavonear/aduzir/alegar/brandir/ostentar/assinalar/esclarecer/manifestar/posar/presumir/reverberar/citar/demonstrar/certificar/apontar/exibir/provar/refletir/abrir/dizer/agitar
mover	contorcer/enroscar/espernear/torcer-se/manar/virar-se/arremessar/dançar/estalar/fluir/flexionar/pulsar/tornar-se/tropeçar/alongar/impulsionar/esticar/mexer/dobrar/girar/pular/sacudir/saltar/tremer/sair/correr/partir/agitar/deixar/virar/separar/bater/escorrer/jogar-se/movimentar/mutuar/pinotear/ribombar/surpreender-se/unir-se/vassourar/abalar/bailar/chafurdar/oscilar/reciprocar/trovoar/dançar/dirigir-se/fluir/gravitar/ondular/riscar/acenar/recuar/vibrar/clicar/pulsar/tropeçar/varrer/encostar/voar/assumir/montar/rolar/escalar/acordar/mexer/atravessar/pular/saltar/tremer/desaparecer/correr/agitar/virar/subir/bater
mudar	alargar/ativar/transformar-se/comercializar/desvirar/impactar/aperfeiçoar/endireitar/inverter/acertar/completar/tornar-se/afetar/modelar/investir/causar/formar/manchar/substituir/ajustar/corrigir/transformar/acontecer/melhorar/encher/estender/trocar/reduzir/virar/diminuir/abrandar/acostumar-se/acromatizar/adequar/adiantar/agudizar/amalgamar/amaneirar/animizar/aprontar/arrendondar/arterializar/assear/aurear/aurificar/automatar/avelhentar/averbar/avianizar/avolumar/bestializar/centralizar/cevar/circularizar/colorizar/convencionalizar/demonizar/demulsificar/deodorizar/depravar/desabilitar/desactivar/desafinar/desamolar/desantificar/desarmonizar/descentralizar/desconcentrar/desenfatizar/desensitivizar/desinflar/desmitificar/desordenar/despersonalizar/despolarizar/dessensibilizar/diabolizar/efeminar/endemoninhar/enfeiar/engrossar/erotizar/estatizar/eterealizar/evaziar/externar/femininizar/fortalecer/glamorizar/habilitar/habituar/habituar-se/hidrogenar/humanizar/imaterializar/inabilitar/indispor/inseminar/intransitivizar/madurar/magnetizar/nazificar/objectificar/obnubilar/ocidentalizar/oportunizar/orientalizar/ornar/paganizar/perverter/politizar/radicalizar/rarificar/relocar/restorar/sanear/satanizar/sexualizar/simetrizar/simplificar/tenderizar/tontear/transitivizar/transubstanciar/uniformizar/verbificar/volatizar/zapar/acetilar/acostumar/activar/adaptar/afectar/afrancesar/afrouxar/agravar/alcalinizar/alegorizar/alhear/americanizar/ampliar/atear/automatizar/avariar/barbarizar/bolhar/civilizar/complicar/comunizar/corromper/decimalizar/democratizar/desamarrar/desativar/desembaralhar/desestabilizar/desmagnetizar/desnaturalizar/desobstruir/desqualificar/digitalizar/dinamizar/dissonar/embaçar/emigrar/empetecar/emprestar/emulsionar/energizar/engordar/equiparar/espessar/estabilizar/estranhar/eternizar/europeizar/exacerbar/externalizar/fecundar/fertilizar/imortalizar/inativar/incapacitar/internacionalizar/islamizar/isomerizar/liberalizar/liquidificar/masculinizar/migrar/militarizar/mitologizar/nacionalizar/normalizar/objetivar/obscurecer/oficializar/ofuscar/opalescer/opalizar/ossificar/oxidar/personalizar/plastificar/privatizar/prostrar/redigir/sanitizar/saponificar/saturar/sensibilizar/sensitivizar/suburbanizar/sutilizar/transfigurar/transmudar/vascularizar/viciar/vitalizar/vitrificar/vivificar/alcoolizar/alumiar/amaciar/amadurecer/amansar/arredondar/brutalizar/cegar/chorar/coagular/comedir/concentrar/conformar/constitucionalizar/descolorir/desintegrar/despertar/desvirtuar/diversificar/domar/domesticar/dopar/emagrecer/encerrar/enfeitar/envelhecer/escurecer/esfriar/esquematizar/estreitar/gelatinizar/industrializar/ionizar/lubrificar/macular/mecanizar/mitificar/ornamentar/padronizar/polarizar/possibilitar/pressurizar/purgar/recombinar/reconstruir/refrigerar/resfriar/restabelecer/restaurar/retardar/revolucionar/romantizar/santificar/secar/sentimentalizar/subverter/tensionar/territorializar/turvar/urbanizar/vulgarizar/amolar/assimilar/bagunçar/calcificar/calibrar/castigar/clarificar/coalhar/consertar/contaminar/contribuir/desacelerar/editar/embelezar/enlamear/enrijecer/especializar/fortificar/gelar/invalidar/molhar/oxigenar/progredir/rachar/refazer/socializar/sujar/visualizar/aerar/alienar/alterar/amortecer/aviltar/condensar/converter/danificar/debilitar/embaralhar/esquentar/esvaziar/glorificar/intensificar/mover/naturalizar/refrescar/remodelar/suavizar/sublimar/traduzir/unificar/validar/acelerar/afetar/afiar/aquecer/atrasar/balançar/colorir/compatibilizar/deformar/desvalorizar/disciplinar/elevar/enxugar/expandir/igualar/neutralizar/purificar/racionalizar/refinar/sincronizar/apertar/apressar/clarear/endurecer/envenenar/evacuar/ferver/irradiar/isolar/moderar/piorar/reformar/retificar/adornar/causar/compensar/decorar/enfraquecer/manchar/marcar/produzir/regenerar/suspender/acordar/baixar/finalizar/mexer/preparar/transportar/adicionar/ajustar/atrair/capturar/corrigir/revelar/temperar/transformar/animar/apagar/derrubar/pular/sacudir/saltar/concluir/confundir/esconder/excitar/encher/estender/trazer/unir/misturar/terminar/trocar/levar/provocar/colocar/deixar/limpar/reduzir/virar/carregar/conduzir/quebrar/tocar/diminuir/cair/aumentar/fazer
mudar-se	relocar/emigrar/migrar/evacuar
multiplicar	cubar/redobrar/elevar
nadar	mergulhar
narcotizar	envenenar/anestesiar/drogar
narrar	relatar
naufragar	submergir
necessitar	exceptuar/carecer/clamar/demandar/precisar/excluir
negar	enjeitar/repudiar/reter/conter
negligenciar	preterir
nomear	alcunhar/baptizar/rebaptizar/rebatizar/apelidar/intitular/numerar/renomear/batizar/denominar/alistar/enumerar/listar/referir/anunciar
notar	comentar/mencionar/indicar
obedecer	acatar/conformar/seguir/escutar
objectar	contestar/excetuar
obrigar	cacetear/aterrorizar/impulsionar
obstar	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/demover/sustar/desconcertar/travar/evitar/parar
obter	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/lucrar/recolher/apanhar/comprar/recuperar/coletar/ganhar/capturar/adquirir/encontrar/reunir/atingir/pegar/readquirir/reaver/compartir/fretar/reganhar/topar/apurar/auferir/partilhar/alugar/assinar/conseguir/exprimir/comprar/culminar/entrar/recuperar/extrair/isolar/expressar/ganhar/tomar/adquirir/receber/chegar/encontrar/aceitar/atingir/achar/começar/dividir/passar/fazer
ocorrer	coincidir/materializar/re-ocorrer/reincidir/calhar/recrudescer/intervir/recorrer/resultar/sincronizar/prosseguir/suceder/repetir/brilhar/acontecer/desenvolver/vir/ir/passar/cair
ocultar	disfarçar/mascarar/encobrir/esconder/espreitar/sepultar/soterrar/tapar/acobertar/enterrar/encobrir/esconder/cobrir
ocupar	encher
odiar	desprezar/desdenhar/menosprezar/abominar/detestar/execrar
ofender	dilacerar/humilhar/descompor/lacerar/mortificar/alfinetar/aviltar/insultar/rebaixar/machucar
oferecer	legar/doar/distribuir/deixar/entregar/passar/dar/gratificar/rifar/dotar/render-se/ceder/submeter/entregar/dar
olhar	entrever/vislumbrar/observar/compreender/ver
olvidar	esquecer
omitir	disfarçar/mascarar/encobrir/esconder/elidir/espreitar/sepultar/soterrar/tapar/acobertar/enterrar/ocultar/encobrir/esconder/cobrir
operar	avionar/revezar/discar/pedalar/pilotar/retransmitir/sincronizar/voar/girar/dirigir/conduzir
opor	impugnar/contestar
opor-se	impugnar/contestar
ordenar	proscrever/vetar/vedar/proibir/requisitar/responsabilizar/sincronizar
organizar	engrenar/estruturar/sindicar/coreografar/sindicar-se/reorganizar/arregimentar/sincronizar/escolher
originar-se	advir/originar/provir/emergir
orquestrar	coreografar
oscular	bicotar/beijocar/beijar
ostentar	gabar/triunfar
ouvir	grampear/interceptar/atender/escutar/assistir/entender/pegar
ovacionar	vivar
pagar	reintegrar/remunerar/retribuir/debitar/despender/restituir/recompensar/repagar/gastar/compensar/desembolsar/pré-pagar/ressarcir/sobrepagar/corromper/indenizar/reembolsar/subornar/subsidiar/subvencionar/doar/recompensar/contribuir/financiar/preferir/gastar/redimir/compensar/enviar
papar	glutonizar/ruminar/beliscar/engulir/imergir/mordiscar/sorver/exagerar/regar/engolir/mergulhar/consumir/comer/devorar/atacar/encher
parar	espirar/respirar/aposentar-se/frear/retirar-se/travar/desistir/abandonar
parecer	troçar/reluzir/caçoar/cintilar/assomar/devassar/aproximar-se/assemelhar/desesperar/optimizar/ecoar/esfriar/romantizar/sentimentalizar/vulgarizar/aproximar/gozar/presumir/reagir/simular/conquistar/copiar/surgir/endurecer/aparecer/fingir/imitar/brincar/desmoronar/brilhar/estar/lembrar/adquirir/jogar/seguir/fazer
partilhar	comunalizar/agregar/combinar
partir	afastar-se/ausentar-se/decolar/desconectar/dispersar/espalhar/sair
pasmar	amendrontar/galvanizar
passar	coincidir/comissionar/desobrigar/incumbir/materializar/re-ocorrer/reincidir/calhar/confidenciar/lembrar-se/recrudescer/transitar/confiar/intervir/recorrer/transgredir/infiltrar/livrar/alienar/negociar/resultar/transferir/ocorrer/sincronizar/prosseguir/renunciar/suceder/repetir/atravessar/brilhar/lembrar/acontecer/desenvolver/desistir/transmitir/vir/liberar/correr/abandonar/deixar/entregar/ir/cair/dar
passear	mochilar/caminhar/andar
patinar	derrapar
pausar	espirar/respirar
pechinchar	regatear/barganhar
pedir	mendigar/reservar/demandar/exigir/convidar/segurar/candidatar/encomendar/esmolar/peticionar/invocar/mendigar/reivindicar/solicitar/rogar/demandar/suplicar/exigir/convidar/requerer/reclamar/aplicar/organizar/desejar
pegar	apreender/apanhar/furtar/agarrar/roubar/prender/segurar/engalfinhar/agarrar/capturar/esconder/segurar
penalizar	executar/desagravar/desforrar/pixar/revidar/vingar/retaliar/vitimizar/flagelar/vitimar/castigar/disciplinar/corrigir
pendurar	suspender
penetrar	interpenetrar/prospectar/filtrar/varar/imergir/percolar/permear/perfurar/examinar/furar/tomar/atingir/cortar
penhorar	afiançar/prometer
pensar	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/contemplar/planejar/refletir/afigurar/balizar/devanear/encafifar/envisionar/filosofar/meditar/repensar/reputar/sentir-se/visionar/fantasiar/prestar/antever/figurar/imaginar/raciocinar/cogitar/sonhar/visualizar/inferir/ponderar/deduzir/racionalizar/contemplar/acreditar/prever/avaliar/decidir/concluir/julgar/desejar/chegar/considerar/achar/ver/manter
perambular	espreitar/rondar
perceber	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver/alucinar/avistar/delirar/divisar/captar/apalpar/sonhar/adivinhar/sentir/apreciar/compreender/ver/pegar
perdoar	paliar/pleitar/atenuar/mitigar/remediar
perecer	afogar-se/afogar/tombar/sucumbir/asfixiar/estrangular/sufocar/morrer/cair
perfurar	interpenetrar/prospectar/filtrar/varar/imergir/percolar/permear/examinar/furar/penetrar/tomar/atingir/cortar
perguntar	bisbilhotar/xeretar/fofocar/consultar
permanecer	espreitar/rondar/ficar
permitir	aturar/tolerar/aguentar/suportar/admitir/aceitar/agüentar/descriminalizar/legalizar/legitimar/aturar/confiar/autorizar/tolerar/aguentar/suportar
perplexar	ater/desorientar/desmoralizar/desnortear/atordoar/desconcertar/surpreender/pegar
perseverar	obstinar
persistir	obstinar
persuadir	convencer/imperar/adular/desarmar/influenciar/assegurar/seduzir/vender
perturbar	transtornar/assediar/aborrecer/molestar/preocupar/importunar/irritar/provocar/incomodar/inimizar/inquietar/antagonizar/afligir/aborrecer/angustiar/corroer/magoar/chocar/preocupar/importunar/irritar/excitar/agitar/incomodar
pesar	sopesar
picar	urticar
pincelar	emblazonar/sombrear
pintar	emblazonar/repintar/sombrear
piorar	degenerar/degradar/deteriorar/adoecer/adoentar/retrogredir/enlanguescer/fatigar/apodrecer/inflamar/privar/decair/sofrer
piscar	pestanejar
planejar	engenhar/maquinar/orquestrar/organizar/planificar/redesenhar/engendrar/destinar/esquematizar/arregimentar/conceber/programar/agendar/projectar/projetar/compor/propor/organizar/mostrar
plantar	arborizar/replantar/semear/enraizar
plotar	diagramar
polir	aculturar/civilizar/escolar/lustrar/alisar/educar/cultivar/treinar
ponderar	questionar/perguntar/introspectar/premeditar/teologizar/cogitar/refletir/julgar/pensar/considerar
pontuar	incidir/re-enfatizar/topicalizar/grifar/sublinhar/enfatizar/clarificar/focar
pospor	segurar
postar	afixar
postergar	segurar
poupar	entesourar
pousar	abicar/desembarcar-se/desembarcar
precisar	clamar/demandar
predizer	apostar/augurar/calcular/prognosticar/adivinhar/ler/prever
preferir	preferenciar
pregar	evangelizar
prender	emprisonar/encarcerar/engaiolar/incarcerar/enganchar/aprisionar/trancar/pendurar/abotoar/acolchetar/afivelar/agrafar/ancorar/barricar-se/emprisionar/engastar/entrincheirar-se/zipar/cingir/entrincheirar/escorar/estacar/rebitar/encadear/grampear/implantar/internar/alfinetar/aprisionar/atracar/conectar/cravar/trancar/pendurar/amarrar/atar/forçar/ligar/colocar
prensar	esmagar/espremer/apertar/espremer/empurrar
preocupar	inquietar
preocupar-se	apoquentar/obcecar/obsediar/temer
preparar	preservar/conservar/flambar/desfraldar/retreinar/improvisar/instruir/treinar
preservar	desidratar/enlatar/salgar/refrigerar/conservar
pressentir	apostar/augurar/calcular/prognosticar/adivinhar/ler/predizer/prever
pressionar	esmagar/espremer/apertar/espremer/empurrar
prestar	alugar
presumir	pressupor
pretender	pressentir/prognosticar/adivinhar/predizer/prever/suspeitar
preterir	elidir
prever	apostar/augurar/calcular/prognosticar/adivinhar/ler/predizer
prezar	admirar/estimar/reverenciar/venerar/temer
privar	deserdar/desmamar/empobrecer/esfomear
proclamar	trombetear/declarar
